Company,Amount ($M),Series,Sector,HQ,Date,Source
https://navi.com/,$20.00,Debt,Fintech,Bengaluru,28/07/2025,https://entrackr.com/exclusive/exclusive-sachin-bansals-navi-raises-20-mn-debt-9585170
https://www.metaforms.ai/,$9.00,Series A,AI,Bengaluru,31/07/2025,https://entrackr.com/snippets/metaforms-raises-9-mn-from-peak-xv-nexus-and-together-fund-9610798
https://getstan.app/,$8.50,Series A,Social Gaming,Bengaluru,31/07/2025,https://entrackr.com/snippets/social-gaming-platform-stan-raises-85-mn-in-series-a-round-9611968
https://arivihan.com/,$4.17,Pre-Series A,Edtech,Indore,31/07/2025,https://entrackr.com/snippets/arivihan-raises-417-mn-in-pre-series-a-round-from-prosus-accel-9609066
https://www.sharpsell.ai/,$3.42,Series A,Saas,Bengaluru,29/07/2025,https://entrackr.com/snippets/sharpsellai-raises-rs-30-cr-in-series-a-led-by-equentis-angel-fund-9601921
https://littleboxindia.com/,$2.10,,D2C Fashion Brand,Guwahati,30/07/2025,https://entrackr.com/snippets/fashion-startup-littlebox-raises-21-mn-led-by-huddle-and-prath-ventures-9606016
https://www.designx.in/,$2.00,Pre-Series A,Automation,Noida,30/07/2025,https://entrackr.com/snippets/designx-raises-2-mn-in-pre-series-a-round-led-by-rockstud-capital-9606526
https://snooplay.in/,$0.91,Series A,Toy Marketplace,Noida,31/07/2025,https://entrackr.com/snippets/toy-marketplace-snooplay-raises-pre-series-a1-round-led-by-pravek-family-office-9609864
http://zeptonow.com/,$0.86,,Quick Commerce,Mumbai,29/07/2025,https://entrackr.com/zepto-raises-fresh-funds-from-elcid-investment-5-bn-valuation-9601713
https://heizen.work/,$0.50,Pre-Seed,AI-Native Software,Hyderabad,30/07/2025,https://entrackr.com/snippets/software-delivery-startup-heizen-raises-seed-round-led-by-titan-capital-9606453
https://iline.ai/,$0.50,,Logistics - EV,Noida,31/07/2025,https://entrackr.com/snippets/iline-raises-500k-in-angel-round-9609304
https://www.passprt.com/,$0.50,Pre-Seed,Travel,Gurugram,29/07/2025,https://entrackr.com/snippets/passprt-trips-raises-500k-in-pre-seed-round-led-by-aroa-venture-partners-9601885
https://genexisbiotech.com/,$0.46,Seed,Biotech,Vadodara,28/07/2025,https://entrackr.com/snippets/genexis-biotech-raises-rs-4-cr-in-seed-round-led-by-gvfl-9585883
,,,,,,
https://optipro.ai/,,,SaaS,Bengaluru,29/07/2025,https://entrackr.com/snippets/saas-startup-optipro-ai-raises-fresh-funding-9601217
http://vahan.ai/,,,Recruitment Platform,Bengaluru,30/07/2025,https://entrackr.com/snippets/vahanai-secures-strategic-investment-from-temaseks-lemmatree-acquires-learn-9605746
