Company,Amount ($M),Series,Sector,HQ,Date,Source
https://snabbit.com/,$30.00,Series C,Quick Commerce,Mumbai,30/10/2025,https://www.moneycontrol.com/news/business/funding/snabbit-raises-30-million-in-series-c-funding-led-by-bertelsmann-at-180-million-valuation-13641072.html
https://optimocapital.in/,$17.50,Series A,Fintech,Bengaluru,28/10/2025,https://entrackr.com/news/prashant-pittis-optimo-capital-raises-rs-150-cr-in-series-a-round-10600487
https://jupiter.money/,$15.00,,Fintech,Mumbai,30/10/2025,https://economictimes.indiatimes.com/tech/funding/jupiter-secures-15-million-from-existing-investors-valuation-remains-flat-at-600-million/articleshow/124908900.cms
https://www.goyazjewellery.com/,$14.60,Series A,Jewellery Brand,Hyderabad,31/10/2025,https://entrackr.com/snippets/gold-plated-silver-jewellery-brand-goyaz-raises-rs-130-cr-led-by-norwest-10610308
https://www.salaryse.com/,$11.30,Series A,Fintech,Delhi-NCR,30/10/2025,https://inc42.com/buzz/salaryse-nets-11-3-mn-to-scale-its-salary-linked-credit-platform/
https://www.lenskart.com/,$11.30,Pre-IPO,Eyewear Brand,Delhi-NCR,29/10/2025,https://entrackr.com/news/sbi-mf-invests-rs-100-cr-in-lenskart-in-pre-ipo-round-10603518
https://www.thepointai.com/,$5.30,,E-commerce Tech,,30/10/2025,https://entrackr.com/snippets/point-ai-raises-53-mn-led-by-yali-capital-10605801
https://www.tsuyo.co.in/,$4.50,,EV Manufacturing,Delhi,29/10/2025,https://entrackr.com/snippets/tsuyo-manufacturing-raises-45-mn-round-led-by-avaana-capital-10602912
https://www.fambo.in/,$2.44,Series A,Agritech,Noida,29/10/2025,https://entrackr.com/snippets/fambo-raises-rs-2155-cr-series-a-round-led-by-agrisure-fund-10602888
https://oroos.org/,$2.26,,Confectionery Brand,Noida,29/10/2025,https://entrackr.com/snippets/confectionery-brand-oroos-raises-rs-20-cr-from-fireside-sbi-others-10603381
https://openhouse.in/,$2.00,Seed,Proptech,Delhi-NCR,30/10/2025,https://entrackr.com/snippets/proptech-startup-openhouse-raises-2-mn-in-seed-round-10606190
https://www.happi-planet.com/,$2.00,,D2C - Home Care,Mumbai,29/10/2025,https://entrackr.com/snippets/home-care-products-maker-happi-planet-raises-2-mn-10602925
https://bananaclub.co.in/,$1.39,,Clothing Brand,Bengaluru,27/10/2025,https://entrackr.com/snippets/clothing-brand-banana-club-raises-rs-1225-cr-at-rs-245-cr-valuation-10597654
https://redacto.io/,$1.35,Seed,AI-driven privacy platform,Bengaluru,30/10/2025,https://entrackr.com/snippets/redacto-raises-rs-12-cr-in-seed-round-led-by-peercapital-10606066
https://savesage.club/,$1.00,Pre-Seed,Fintech,Gurugram,29/10/2025,https://entrackr.com/snippets/savesage-raises-1-mn-in-pre-seed-round-10604410
https://neulife.com/,$1.00,Seed,D2C Nutrition brand,Mumbai,27/10/2025,https://entrackr.com/snippets/performance-nutrition-brand-neulife-raises-1-mn-in-seed-round-10597182
https://www.madoverbuildings.com/,$0.68,Seed,B2B E-Commerce,Bengaluru,31/10/2025,https://entrackr.com/snippets/mad-over-buildings-raises-seed-round-led-by-sig-tattva-10610026
https://beyondrenewables.in/,$0.56,Pre-Seed,Climate-tech,Delhi,30/10/2025,https://entrackr.com/snippets/beyond-renewables-recycling-raises-pre-seed-round-led-by-momentum-capital-10606880
https://www.stampmyvisa.com/,$0.45,,B2B Visa Processing,Mumbai,29/10/2025,https://entrackr.com/snippets/stampmyvisa-raises-rs-4-cr-in-bridge-round-led-by-unicorn-india-ventures-10602971
https://www.exiles.gg/,$0.36,Pre-Seed,Gaming,Bengaluru,30/10/2025,https://entrackr.com/snippets/gaming-startup-exiles-interactives-raises-355k-in-pre-seed-round-10606500
https://gubbachhi.com/,,Pre-Seed,Toy Brand,Bengaluru,28/10/2025,https://entrackr.com/snippets/gubbachhi-raises-pre-seed-round-from-d2c-insider-super-angels-fund-10598883
https://www.theticket9.com/,,,SaaS - Event Tech,Coimbatore,28/10/2025,https://entrackr.com/snippets/event-tech-startup-ticket9-raises-fresh-funds-10600064
https://cybrilla.com/about,,Pre-Series A,Fintech,Bengaluru,28/10/2025,https://entrackr.com/snippets/360-one-asset-invests-in-cybrillas-pre-series-a-round-10600054
https://getsatark.com/,,Pre-Seed,Cyber Security,Ahmedabad,28/10/2025,https://entrackr.com/snippets/cyber-security-startup-satark-ai-raises-pre-seed-round-10600228
