Company,Amount ($M),Series,Sector,HQ,Date,Source
https://blu-smart.com/,$25.00,Debt + Equity,EV - Ride Hailing,Gurugram,29/01/2024,https://entrackr.com/2024/01/blusmart-raises-25-mn-from-swiss-based-responsability/
https://moveinsync.com/,$15.00,Series C,SaaS,Bengaluru,29/01/2024,https://yourstory.com/2024/01/employee-commute-platform-moveinsync-raises-15-million-bessemer-venture
https://wizfreight.com/,$15.00,Series B,Logistics,Chennai,01/02/2024,https://entrackr.com/2024/02/supply-chain-startup-wiz-freight-raises-15-mn-in-ongoing-series-b-round/
https://p0.inc/,$6.50,Seed,AI,Bengaluru,31/01/2024,https://entrackr.com/2024/01/ai-security-startup-p0-raises-6-5-mn-in-seed-round/
https://aquaconnect.blue/,$4.00,Pre-Series B,Aquaculture,Chennai,31/01/2024,https://inc42.com/buzz/aquaconnect-secures-4-mn-to-transform-indian-aquaculture/
https://electrifimobility.com/,$3.00,Seed,EV,Gurugram,30/01/2024,https://entrackr.com/2024/01/electrifi-mobility-raises-rs-25-cr-in-seed-round/
https://www.blackopalgroup.in/,$3.00,,Proptech - Fintech,Noida,30/01/2024,https://entrackr.com/2024/01/black-opal-group-raises-3-mn-from-sbi-and-hdfc/
https://algorithmicbiologics.com/index.html,$2.50,Pre-Series A,Biotech,Bengaluru,03/02/2024,https://entrackr.com/2024/02/algobio-raises-2-5-mn-in-pre-series-a-round/
https://cleartrust.cc/,$1.90,Pre-Series A,Cybersecurity,Bengaluru,29/01/2024,https://entrackr.com/2024/01/cleartrust-raises-1-9-mn-in-pre-series-a-round/
https://www.momshome.in/,$0.60,Pre-Series A,E-Commerce - Babycare brand,Jaipur,29/01/2024,https://entrackr.com/2024/01/moms-home-raises-rs-5-cr-in-pre-series-a-round/
https://www.arzooo.com/,,Series B,Retail Tech,Bengaluru,29/01/2024,https://entrackr.com/2024/01/arzooo-raises-funds-in-extended-series-b/
