Company,Amount ($M),Series,Sector,HQ,Date,Source
https://leapscholar.com/,$65.00,,Fintech - Education,Bengaluru,29/01/2025,https://entrackr.com/news/edtech-company-leap-raises-65-mn-led-by-apis-partners-8663858
https://www.captainfresh.in/,$30.00,Pre-IPO,Seafood supply chain,Bengaluru,31/01/2025,https://entrackr.com/news/captain-fresh-raises-rs-250-cr-in-ongoing-pre-ipo-round-8678115
https://www.gericare.in/,$13.00,,Healthcare,Chennai,27/01/2025,https://entrackr.com/snippets/invascent-leads-13-mn-round-in-geri-care-health-services-8658435
https://www.innov8.work/,$13.00,,Co-Working,Delhi,28/01/2025,https://entrackr.com/news/oyo-owned-innov8-raises-rs-110-cr-at-rs-1000-cr-valuation-8660332
http://www.emizainc.com/,$12.00,Series C,Supply Chain and Warehousing,Mumbai,27/01/2025,https://entrackr.com/snippets/emiza-raises-rs-100-cr-in-series-c-round-8657375
https://astrome.co/,$10.00,,Deeptech,Bengaluru,27/01/2025,https://entrackr.com/news/astrome-technologies-raises-10-mn-led-by-appollo-fund-8658316
https://www.voltup.in/,$8.00,Seed,EV - Battery Swapping,Mumbai,27/01/2025,https://entrackr.com/snippets/voltup-raises-8-mn-in-seed-funding-round-8657725
https://ambak.com/,$7.00,Seed + Pre-Series A,Fintech - home loan,Gurugram,28/01/2025,https://entrackr.com/snippets/home-loan-startup-ambak-raises-7-mn-led-by-peak-xv-8661535
https://www.growxcd.com/,$5.77,,Fintech - NBFC,Chennai,29/01/2025,https://economictimes.indiatimes.com/tech/funding/lok-capital-and-uc-impower-invest-rs-50-crore-in-growxcd-finance/articleshow/117686694.cms
https://whizzo.org/,$4.20,Seed,Material Science Manufacturing,Bengaluru,28/01/2025,https://entrackr.com/snippets/whizzo-raises-42-mn-in-seed-round-led-by-lightspeed-8659906
https://bizloanindia.com/,$4.00,Series A,Fintech - NBFC,Gurugram,28/01/2025,https://entrackr.com/snippets/nbfc-bizloan-raises-rs-35-cr-in-series-a-funding-8660744
https://www.saladdays.co/,$3.46,,Cloud Kitchen,Gurugram,30/01/2025,https://economictimes.indiatimes.com/tech/funding/salad-days-raises-rs-30-crore-in-round-led-by-v3-ventures-caaf/articleshow/117697394.cms
https://www.gochk.com/,$2.50,,D2c Footwear Brand,Bengaluru,30/01/2025,https://economictimes.indiatimes.com/tech/funding/footwear-startup-chk-raises-2-5-million-from-accel-bluestone-others/articleshow/117696832.cms
https://metashot.in/,$1.27,Seed + Debt,Gaming,Bengaluru,28/01/2025,https://entrackr.com/snippets/saucevc-leads-11-cr-round-in-gaming-startup-metashot-8660717
https://sammmm.com/,$1.20,Seed,Teen Self Care,Mumbai,30/01/2025,https://entrackr.com/snippets/teen-self-care-brand-sammmm-raises-rs-10-cr-in-seed-funding-8674589
https://shoppin.app/,$1.00,,Fashion search engine,Gurugram,29/01/2025,https://entrackr.com/snippets/infoedge-ventures-leads-1-mn-round-in-shoppin-8669237
https://originfresh.in/,$1.00,Pre-Seed,E-Commerce - Fresh Produce,Bengaluru,28/01/2025,https://entrackr.com/snippets/aeravti-ventures-leads-1-mn-round-in-origin-fresh-8661367
https://indulge.global/,$1.00,,Luxury Concierge Services,Goa,27/01/2025,https://inc42.com/buzz/shark-tank-fame-indulge-global-bags-funding-to-offer-concierge-services/
https://thinkmetal.in/,$0.80,Pre-Series A,Deeptech,Chennai,28/01/2025,https://entrackr.com/snippets/thinkmetal-raises-800k-in-pre-series-a-round-8661333
https://utsavapp.in/home,$0.73,Seed,Spiritual,Kolkata,31/01/2025,https://entrackr.com/snippets/spiritual-tech-startup-utsav-raises-rs-635-cr-8677250
https://www.medmitra-ai.com/,$0.35,Pre-Seed,AI,Jaipur,28/01/2025,https://economictimes.indiatimes.com/tech/funding/medmitra-ai-raises-rs-3-crore-led-by-all-in-capital-weh-ventures/articleshow/117626643.cms
https://www.drasice.com/,,,Cloud Kitchen,Delhi,28/01/2025,https://economictimes.indiatimes.com/tech/funding/curefoods-makes-strategic-investment-in-dras-ice/articleshow/117624539.cms
https://dressfolk.com/,,,Clothing,Gurugram,27/01/2025,https://entrackr.com/snippets/eternal-capital-and-mamaearths-ghazal-alagh-back-dressfolk-8657116
