Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.meesho.com/,$275.00,,E-Commerce,Bengaluru,10/05/2024,https://techcrunch.com/2024/05/10/meesho-an-indian-social-commerce-with-150m-transacting-users-secures-275m-in-new-funding/
https://greencellmobility.com/,$36.76,Debt,EV,Mumbai,08/05/2024,https://infra.economictimes.indiatimes.com/news/urban-transportation/greencell-mobility-gets-rs-307-cr-financing-from-sumitomo-mitsui-for-electric-buses-in-up/109933860
https://superplum.com/,$15.00,Series A,Agritech,Noida,06/05/2024,https://entrackr.com/2024/05/agritech-startup-superplum-raises-15-mn-in-series-a-round/
https://www.lendingkart.com/,$10.00,,Fintech - Lending,Ahmedabad,07/05/2024,https://inc42.com/buzz/lendingkart-pockets-10-mn-for-onward-lending-to-small-businesses/
https://poshn.co/,$6.00,Pre-Series A,Agritech,Delhi,06/05/2024,https://yourstory.com/2024/05/delhi-foodtech-startup-poshn-secures-6-million-pre-series-a-round-prime-ventures-partners
https://www.myelinfoundry.com/,$4.00,,AI,Bengaluru,08/05/2024,https://entrackr.com/2024/05/myelin-foundry-raises-4-mn-led-by-sidbi-venture-capital/
https://ecozensolutions.com/,$2.87,,Agritech,Pune,06/05/2024,https://inc42.com/buzz/coromandel-international-increases-stake-in-ecozen-with-inr-24-cr-investment/
https://www.parseable.com/,$2.75,Seed,Analytics,Bengaluru,07/05/2024,https://entrackr.com/2024/05/log-analytics-startup-parseable-raises-2-75-mn-in-seed-round-from-surge-others/
https://bharatrohan.in/,$2.30,Pre-IPO,Agritech - Drone,Gurugram,07/05/2024,https://entrackr.com/2024/05/agritech-startup-bharatrohan-raises-2-3-mn-in-pre-ipo-round/
https://www.cornext.in/,$2.20,Seed,Agritech,Hyderabad,07/05/2024,https://entrackr.com/2024/05/fodder-ecosystem-builder-cornext-raises-2-2-mn-from-omnivore/
https://regrip.in/,$2.00,,Tyre maker,Gurugram,07/05/2024,https://inc42.com/buzz/refurbished-tyre-startup-regrip-nets-funding-from-siriusone/
https://www.atomgrid.in/,$1.20,Seed,Chemical Manufacturer,Bengaluru,08/05/2024,https://inc42.com/buzz/atomgrid-bags-funding-to-boost-specialty-chemicals-export/
https://icon.in/,$1.20,Seed,E-Commerce - D2C Luggage Brand,Ahmedabad,07/05/2024,https://entrackr.com/2024/05/icon-raises-1-2-mn-in-seed-round-from-dsg-consumer-partners-others/
https://www.eternz.com/,$1.15,Pre-Seed,Ecommerce - Jewellery,Bengaluru,07/05/2024,https://entrackr.com/2024/05/eternz-raises-1-15-mn-in-pre-seed-funding-led-by-kae-capital/
https://www.selectbrands.in/,$0.78,Pre-Series A,E-Commerce,Indore,07/05/2024,https://entrackr.com/2024/05/jiif-incubated-startup-select-brands-raises-6-5-cr-in-pre-series-a/
https://www.50fin.in/,$0.55,Seed,Fintech - Lending,Bengaluru,06/05/2024,https://entrackr.com/2024/05/50fin-raises-550k-led-by-arali-ventures-and-nitin-gupta/
https://www.treacletech.com/,$0.48,Pre-Seed,Cybersecurity,Howrah,09/05/2024,https://entrackr.com/2024/05/cybersecurity-startup-treacle-raises-pre-seed-round-led-by-ipv/
