Company,Amount ($M),Series,Sector,HQ,Date,Source
https://getvisitapp.com/,$30.00,,Health and Wellness,Delhi,07/08/2024,https://entrackr.com/2024/08/visit-health-raises-30-mn-in-primary-and-secondary-transaction/
https://agrizy.in/,$9.80,Series A,B2B Agritech,Bengaluru,05/08/2024,https://entrackr.com/2024/08/b2b-agri-processing-platform-agrizy-raises-9-8-mn-in-series-a/
https://www.scimplify.com/,$9.50,Series A,Specialty Chemicals,Bengaluru,08/08/2024,https://entrackr.com/2024/08/scimplify-raises-9-5-mn-in-series-a-round-led-by-omnivore-and-bertelsmann/
https://www.kindlife.in/,$8.00,Series A,E-Commerce - Beauty Brand,Gurugram,07/08/2024,https://entrackr.com/2024/08/shopclues-co-founder-radhika-ghais-startup-kindlife-in-raises-8-mn-in-series-a/
https://shopdeck.com/,$7.85,,E-Commerce Enabler,Bengaluru,07/08/2024,https://entrackr.com/2024/08/exclusive-wmall-founders-return-with-shopdeck-raise-8-mn/
https://www.bluebinaries.com/,$7.20,Debt + Equity,Engineering and technology services,Chennai,07/08/2024,https://entrackr.com/2024/08/anicut-capital-leads-rs-60-cr-round-in-bluebinaries/
https://www.punch.trade/,$7.00,Seed,Stock Broking,Mumbai,06/08/2024,https://entrackr.com/2024/08/stock-broking-app-punch-raises-7-mn-in-seed-round/
https://www.notion.soMetadome.ai,$6.50,Series A,Extended Reality,Gurugram,08/08/2024,https://entrackr.com/2024/08/metadome-ai-raises-6-5-mn-led-by-siana-capital-and-chiratae/
https://www.biofuelcircle.com/,$5.30,,Biofuel marketplace,Pune,08/08/2024,https://entrackr.com/2024/08/exclusive-biofuelcircle-raises-rs-45-cr-led-by-spectrum-impact/
https://www.genworkshealth.com/,$5.00,,Healthcare,Bengaluru,08/08/2024,https://entrackr.com/2024/08/exclusive-wipro-ge-backed-genworks-valuation-touches-rs-550-cr/
https://www.etherealx.space/,$5.00,Seed,Spacetech,Bengaluru,06/08/2024,https://entrackr.com/2024/08/etherealx-raises-5-mn-in-seed-round-led-by-yournest/
https://sigtuple.com/,$4.00,Extended Series C,Healthtech,Bengaluru,07/08/2024,https://entrackr.com/2024/08/sigtuple-raises-4-mn-in-extended-series-c-led-by-sidbi-venture/
https://aukerajewellery.com/,$3.20,Series A,"E-Commerce - Lab grown jewelry brand ",Bengaluru,07/08/2024,https://entrackr.com/2024/08/exclusive-fireside-invests-in-lab-grown-jewellery-brand-aukera/
https://www.juleo.club/,$2.50,Angel,Dating,Delhi,06/08/2024,https://entrackr.com/2024/08/dating-app-juleo-raises-2-5-mn-from-180-angels-including-7-unicorn-founders/
https://www.neuronenergy.in/,$2.40,Series A,EV Battery Manufacturer,Mumbai,06/08/2024,https://entrackr.com/2024/08/neuron-energy-bags-rs-20-cr-in-series-a-round/
https://www.finqy.ai/,$2.00,,Fintech,Mumbai,07/08/2024,https://entrackr.com/2024/08/finqy-raises-2-mn-in-fresh-round/
https://burmaburma.in/,$2.00,Seed,Restaurant Chain,Mumbai,06/08/2024,https://entrackr.com/2024/08/burma-burma-raises-another-2-mn/
http://www.karmahealthcare.in/,$1.30,Series A,Healthcare,Udaipur,07/08/2024,https://www.linkedin.com/company/karma-healthcare/?originalSubdomain=in
https://oneiric11.com/,$1.00,Pre-Series A,Esports and Fantasy Gaming,Chandigarh,08/08/2024,https://entrackr.com/2024/08/oneiric11-gaming-raises-1-mn-in-pre-series-a-funding/
https://www.curryit.in/,$0.54,Seed,Curry Brand,Delhi,05/08/2024,https://entrackr.com/2024/08/curryit-raises-rs-4-5-cr-in-seed-round/
https://nuvoretail.com/,$0.35,,E-Commerce Advertising,Delhi,09/08/2024,https://entrackr.com/2024/08/e-com-marketing-and-analytics-company-nuvoretail-raises-350k/
