Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.curryit.in/,$0.54,05/08/2024,Delhi,Curry Brand,Seed,https://entrackr.com/2024/08/curryit-raises-rs-4-5-cr-in-seed-round/
https://www.etherealx.space/,$5.00,06/08/2024,Bengaluru,Spacetech,Seed,https://entrackr.com/2024/08/etherealx-raises-5-mn-in-seed-round-led-by-yournest/
https://www.punch.trade/,$7.00,06/08/2024,Mumbai,Stock Broking,Seed,https://entrackr.com/2024/08/stock-broking-app-punch-raises-7-mn-in-seed-round/
https://burmaburma.in/,$2.00,06/08/2024,Mumbai,Restaurant Chain,Seed,https://entrackr.com/2024/08/burma-burma-raises-another-2-mn/
https://shopdeck.com/,$7.85,07/08/2024,Bengaluru,E-Commerce Enabler,,https://entrackr.com/2024/08/exclusive-wmall-founders-return-with-shopdeck-raise-8-mn/
https://nuvoretail.com/,$0.35,09/08/2024,Delhi,E-Commerce Advertising,,https://entrackr.com/2024/08/e-com-marketing-and-analytics-company-nuvoretail-raises-350k/
https://getvisitapp.com/,$30.00,07/08/2024,Delhi,Health and Wellness,,https://entrackr.com/2024/08/visit-health-raises-30-mn-in-primary-and-secondary-transaction/
https://www.biofuelcircle.com/,$5.30,08/08/2024,Pune,Biofuel marketplace,,https://entrackr.com/2024/08/exclusive-biofuelcircle-raises-rs-45-cr-led-by-spectrum-impact/
https://agrizy.in/,$9.80,05/08/2024,Bengaluru,B2B Agritech,Series A,https://entrackr.com/2024/08/b2b-agri-processing-platform-agrizy-raises-9-8-mn-in-series-a/
http://www.karmahealthcare.in/,$1.30,07/08/2024,Udaipur,Healthcare,Series A,https://www.linkedin.com/company/karma-healthcare/?originalSubdomain=in
https://sigtuple.com/,$4.00,07/08/2024,Bengaluru,Healthtech,Extended Series C,https://entrackr.com/2024/08/sigtuple-raises-4-mn-in-extended-series-c-led-by-sidbi-venture/
https://www.kindlife.in/,$8.00,07/08/2024,Gurugram,E-Commerce - Beauty Brand,Series A,https://entrackr.com/2024/08/shopclues-co-founder-radhika-ghais-startup-kindlife-in-raises-8-mn-in-series-a/
https://www.notion.soMetadome.ai,$6.50,08/08/2024,Gurugram,Extended Reality,Series A,https://entrackr.com/2024/08/metadome-ai-raises-6-5-mn-led-by-siana-capital-and-chiratae/
https://www.juleo.club/,$2.50,06/08/2024,Delhi,Dating,Angel,https://entrackr.com/2024/08/dating-app-juleo-raises-2-5-mn-from-180-angels-including-7-unicorn-founders/
https://www.finqy.ai/,$2.00,07/08/2024,Mumbai,Fintech,,https://entrackr.com/2024/08/finqy-raises-2-mn-in-fresh-round/
https://www.bluebinaries.com/,$7.20,07/08/2024,Chennai,Engineering and technology services,Debt + Equity,https://entrackr.com/2024/08/anicut-capital-leads-rs-60-cr-round-in-bluebinaries/
https://oneiric11.com/,$1.00,08/08/2024,Chandigarh,Esports and Fantasy Gaming,Pre-Series A,https://entrackr.com/2024/08/oneiric11-gaming-raises-1-mn-in-pre-series-a-funding/
https://aukerajewellery.com/,$3.20,07/08/2024,Bengaluru,"E-Commerce - Lab grown jewelry brand ",Series A,https://entrackr.com/2024/08/exclusive-fireside-invests-in-lab-grown-jewellery-brand-aukera/
https://www.genworkshealth.com/,$5.00,08/08/2024,Bengaluru,Healthcare,,https://entrackr.com/2024/08/exclusive-wipro-ge-backed-genworks-valuation-touches-rs-550-cr/
https://www.scimplify.com/,$9.50,08/08/2024,Bengaluru,Specialty Chemicals,Series A,https://entrackr.com/2024/08/scimplify-raises-9-5-mn-in-series-a-round-led-by-omnivore-and-bertelsmann/
https://www.neuronenergy.in/,$2.40,06/08/2024,Mumbai,EV Battery Manufacturer,Series A,https://entrackr.com/2024/08/neuron-energy-bags-rs-20-cr-in-series-a-round/
