Company,Amount ($M),Series,Sector,HQ,Date,Source
https://thesleepcompany.in/,$56.00,Series D,Home Furniture and Furnishing,Mumbai,06/08/2025,https://entrackr.com/news/the-sleep-company-raises-rs-480-cr-in-primary-and-secondary-funding-9631069
https://www.reneecosmetics.in/,$30.00,Series C,Beauty Brand,Ahmedabad,07/08/2025,https://entrackr.com/news/ren%C3%A9e-cosmetics-raises-30-mn-in-series-c-at-200-mn-valuation-9634943
https://www.fibe.in/,$26.50,Debt,Fintech - Digital Lending,Pune,05/08/2025,https://entrackr.com/news/fibes-lending-arm-raises-rs-225-cr-in-debt-9627953
https://www.supergaming.com/,$15.00,Series B,Gaming,Pune,06/08/2025,https://entrackr.com/news/supergaming-raises-15-mn-led-by-skycatcher-and-steadview-9631851
https://www.jeh.aero/,$11.00,,Aerospace Manufacturing,Hyderabad,05/08/2025,https://entrackr.com/snippets/jeh-aerospace-raises-11-mn-led-by-elevation-capital-9627545
https://www.getzype.com/,$10.20,,Fintech - Digital Lending,Mumbai,06/08/2025,https://entrackr.com/snippets/digital-lending-startup-zype-raises-rs-90-cr-led-by-unleash-capital-9631063
https://dpdzero.com/,$7.00,,Fintech,Bengaluru,06/08/2025,https://entrackr.com/snippets/dpdzero-raises-7-mn-led-by-gmo-venture-partners-9631116
https://turbohire.co/,$6.00,Series A,Recruitment Automation,Hyderabad,05/08/2025,https://entrackr.com/snippets/turbohire-raises-6-mn-in-series-a-round-led-by-ivycap-ventures-9627690
https://mitigata.com/,$5.90,Series A,Smart Cyber Insurance,Bengaluru,04/08/2025,https://entrackr.com/snippets/cyber-resilience-startup-mitigata-raises-59-mn-led-by-nexus-9623583
https://outzidr.com/,$3.10,Pre-Series A,Fashion Brand,Bengaluru,07/08/2025,https://entrackr.com/snippets/fashion-brand-outzidr-raises-31-mn-led-by-rtp-global-9634019
https://www.hylenr.com/,$3.00,Pre-Series A,Cleantech,Hyderabad,06/08/2025,https://entrackr.com/snippets/clean-tech-startup-hylenr-raises-3-mn-in-pre-series-a-round-9631632
https://codekarma.ai/,$2.50,Pre-Seed,Developer Productivity,Bengaluru,06/08/2025,https://entrackr.com/snippets/prosus-accel-and-xeed-lead-pre-seed-round-in-codekarma-9631126
https://xovian.co.in/,$2.50,Pre-Seed,Spacetech,Bengaluru,07/08/2025,https://inc42.com/buzz/xovian-aerospace-nets-2-5-mn-to-build-ai-powered-rf-satellite-infra/
https://nuuk.in/,$2.16,,Home Appliances,Delhi-NCR,07/08/2025,https://entrackr.com/snippets/nuuk-raises-2-mn-from-vertex-ventures-sea-and-good-capital-9635614
https://www.cautio.in/,$1.80,,AI-powered video telematics,Bengaluru,06/08/2025,https://entrackr.com/snippets/cautio-raises-3-mn-in-seed-round-led-by-amal-parikh-9631046
https://www.eonspacelabs.com/,$1.20,Pre-Series A,Spacetech,Hyderabad,05/08/2025,https://entrackr.com/snippets/eon-space-labs-bags-12-mn-in-pre-series-a-round-9628241
https://fraganote.com/,$1.00,Pre-Series A,Perfume Brand,Delhi,05/08/2025,https://entrackr.com/snippets/fraganote-raises-1-mn-in-pre-series-a-round-led-by-rukam-capital-9627733
https://www.mangopoint.in/,$1.00,Pre-Series A,Agritech,Chennai,07/08/2025,https://entrackr.com/snippets/mangopoint-raises-1-mn-in-pre-series-a-round-led-by-ipv-9635234
https://www.shortgun.in/,$1.00,Seed,Game Development Studio,Mumbai,05/08/2025,https://entrackr.com/snippets/game-development-studio-shortgun-raises-1-mn-in-seed-round-9627976
https://gladful.in/,$0.91,,Snack Brand for Kids,Gurugram,06/08/2025,https://entrackr.com/snippets/gladful-raises-rs-8-cr-led-by-eternal-capital-9631040
https://www.terafac.com/,$0.80,Pre-Seed,AI Robotics,Chandigarh,05/08/2025,https://entrackr.com/snippets/terafac-raises-rs-65-cr-in-pre-seed-round-led-by-inuka-capital-9628896
https://tryo.club/,$0.34,Pre-Seed,Fashion Marketplace,Bengaluru,05/08/2025,https://entrackr.com/snippets/fashion-startup-tyro-raises-pre-seed-round-led-by-zeropearl-vc-9628769
https://nprep.in/,,Pre-Seed,Edtech,Jodhpur,07/08/2025,https://entrackr.com/snippets/placement-focused-startup-nprep-raises-pre-seed-round-led-by-all-in-capital-9635214
