Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.shortgun.in/,$1.00,05/08/2025,Mumbai,Game Development Studio,Seed,https://entrackr.com/snippets/game-development-studio-shortgun-raises-1-mn-in-seed-round-9627976
https://www.fibe.in/,$26.50,05/08/2025,Pune,Fintech - Digital Lending,Debt,https://entrackr.com/news/fibes-lending-arm-raises-rs-225-cr-in-debt-9627953
https://dpdzero.com/,$7.00,06/08/2025,Bengaluru,Fintech,,https://entrackr.com/snippets/dpdzero-raises-7-mn-led-by-gmo-venture-partners-9631116
https://www.getzype.com/,$10.20,06/08/2025,Mumbai,Fintech - Digital Lending,,https://entrackr.com/snippets/digital-lending-startup-zype-raises-rs-90-cr-led-by-unleash-capital-9631063
https://gladful.in/,$0.91,06/08/2025,Gurugram,Snack Brand for Kids,,https://entrackr.com/snippets/gladful-raises-rs-8-cr-led-by-eternal-capital-9631040
https://www.eonspacelabs.com/,$1.20,05/08/2025,Hyderabad,Spacetech,Pre-Series A,https://entrackr.com/snippets/eon-space-labs-bags-12-mn-in-pre-series-a-round-9628241
https://nprep.in/,,07/08/2025,Jodhpur,Edtech,Pre-Seed,https://entrackr.com/snippets/placement-focused-startup-nprep-raises-pre-seed-round-led-by-all-in-capital-9635214
https://thesleepcompany.in/,$56.00,06/08/2025,Mumbai,Home Furniture and Furnishing,Series D,https://entrackr.com/news/the-sleep-company-raises-rs-480-cr-in-primary-and-secondary-funding-9631069
https://tryo.club/,$0.34,05/08/2025,Bengaluru,Fashion Marketplace,Pre-Seed,https://entrackr.com/snippets/fashion-startup-tyro-raises-pre-seed-round-led-by-zeropearl-vc-9628769
https://www.hylenr.com/,$3.00,06/08/2025,Hyderabad,Cleantech,Pre-Series A,https://entrackr.com/snippets/clean-tech-startup-hylenr-raises-3-mn-in-pre-series-a-round-9631632
https://www.mangopoint.in/,$1.00,07/08/2025,Chennai,Agritech,Pre-Series A,https://entrackr.com/snippets/mangopoint-raises-1-mn-in-pre-series-a-round-led-by-ipv-9635234
https://mitigata.com/,$5.90,04/08/2025,Bengaluru,Smart Cyber Insurance,Series A,https://entrackr.com/snippets/cyber-resilience-startup-mitigata-raises-59-mn-led-by-nexus-9623583
https://turbohire.co/,$6.00,05/08/2025,Hyderabad,Recruitment Automation,Series A,https://entrackr.com/snippets/turbohire-raises-6-mn-in-series-a-round-led-by-ivycap-ventures-9627690
https://www.jeh.aero/,$11.00,05/08/2025,Hyderabad,Aerospace Manufacturing,,https://entrackr.com/snippets/jeh-aerospace-raises-11-mn-led-by-elevation-capital-9627545
https://www.supergaming.com/,$15.00,06/08/2025,Pune,Gaming,Series B,https://entrackr.com/news/supergaming-raises-15-mn-led-by-skycatcher-and-steadview-9631851
https://www.reneecosmetics.in/,$30.00,07/08/2025,Ahmedabad,Beauty Brand,Series C,https://entrackr.com/news/ren%C3%A9e-cosmetics-raises-30-mn-in-series-c-at-200-mn-valuation-9634943
https://www.terafac.com/,$0.80,05/08/2025,Chandigarh,AI Robotics,Pre-Seed,https://entrackr.com/snippets/terafac-raises-rs-65-cr-in-pre-seed-round-led-by-inuka-capital-9628896
https://www.cautio.in/,$1.80,06/08/2025,Bengaluru,AI-powered video telematics,,https://entrackr.com/snippets/cautio-raises-3-mn-in-seed-round-led-by-amal-parikh-9631046
https://xovian.co.in/,$2.50,07/08/2025,Bengaluru,Spacetech,Pre-Seed,https://inc42.com/buzz/xovian-aerospace-nets-2-5-mn-to-build-ai-powered-rf-satellite-infra/
https://fraganote.com/,$1.00,05/08/2025,Delhi,Perfume Brand,Pre-Series A,https://entrackr.com/snippets/fraganote-raises-1-mn-in-pre-series-a-round-led-by-rukam-capital-9627733
https://outzidr.com/,$3.10,07/08/2025,Bengaluru,Fashion Brand,Pre-Series A,https://entrackr.com/snippets/fashion-brand-outzidr-raises-31-mn-led-by-rtp-global-9634019
https://codekarma.ai/,$2.50,06/08/2025,Bengaluru,Developer Productivity,Pre-Seed,https://entrackr.com/snippets/prosus-accel-and-xeed-lead-pre-seed-round-in-codekarma-9631126
https://nuuk.in/,$2.16,07/08/2025,Delhi-NCR,Home Appliances,,https://entrackr.com/snippets/nuuk-raises-2-mn-from-vertex-ventures-sea-and-good-capital-9635614
