Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.easyhomefinance.in/,$35.00,Series B,Fintech - Home Lending,Mumbai,06/11/2024,https://entrackr.com/news/easy-home-finance-raises-35-mn-from-ranjan-pais-claypond-capital-others-7459643
https://boldfit.in/,$13.00,,Health and Fitness,Bengaluru,07/11/2024,https://economictimes.indiatimes.com/tech/funding/boldfit-gets-rs-110-cr-investment-from-bessemer-venture-partners/articleshow/115022571.cms
https://www.cynlr.com/,$10.00,Series A,Robotics,Bengaluru,05/11/2024,https://inc42.com/buzz/cynlr-funding-robotics-startup-automate-manufacturing/
https://marutdrones.com/,$6.20,Series A,Drones,Hyderabad,05/11/2024,https://economictimes.indiatimes.com/tech/funding/marut-drones-raises-6-2-million-from-lok-capital/articleshow/114981015.cms
https://halamobility.in/,$6.00,Pre-Series A,EV,Hyderabad,04/11/2024,https://entrackr.com/snippets/hala-mobility-raises-rs-51-cr-in-pre-series-a-round-7383278
https://www.thehosteller.com/,$5.69,Equity + Debt,Hostel Chain,Mumbai,07/11/2024,https://economictimes.indiatimes.com/tech/funding/backpacker-hostel-chain-the-hosteller-raises-rs-48-crore-in-round-led-by-v3-ventures/articleshow/115026134.cms
https://castnx.com/,$2.75,,Hardware - Power Electronics,Indore,05/11/2024,https://economictimes.indiatimes.com/tech/funding/deep-tech-startup-castnx-raises-23-22-cr-from-arpit-khandelwal/articleshow/114979257.cms
https://www.pulsegen.io/,$1.40,Seed,Gen AI,Hyderabad,07/11/2024,https://inc42.com/buzz/saas-focused-ai-startup-pulse-bags-funding-from-endiya-partners/
https://www.viraacare.com/?srsltid=AfmBOoo0M1FckvSqXt4yU5Phx8_XeX2khbqCtW3ciouk5xhuMplqBKOe,$0.11,Pre-Seed,Healthtech,Chandigarh,04/11/2024,https://entrackr.com/snippets/viraa-care-raises-108k-in-pre-seed-funding-round-7384055
https://www.qubehealth.com/,,Pre-Series A,Healthcare,Mumbai,05/11/2024,https://economictimes.indiatimes.com/tech/funding/qubehealth-raises-pre-series-a-funding-from-uiv-canbank/articleshow/114979775.cms
