Company,Amount ($M),Series,Sector,HQ,Date,Source
http://www.spacewood.in/,$36.00,,Modular furniture maker,Nagpur,05/11/2025,https://entrackr.com/news/spacewood-raises-rs-300-cr-at-rs-1200-cr-valuation-10624897
https://miko.ai/,$10.50,,Robotics,Mumbai,07/11/2025,https://entrackr.com/snippets/robotics-startup-miko-raises-105-mn-led-by-iheartmedia-10636274
https://www.agnikul.in/,$6.70,,Spacetech,Chennai,07/11/2025,https://entrackr.com/exclusive/exclusive-agnikul-raises-rs-60-cr-in-series-new-round-10635844
https://zynk.com/,$5.00,Seed,Fintech,Hyderabad,06/11/2025,https://inc42.com/buzz/fintech-startup-zynk-bags-5-mn-to-scale-cross-border-payments/
https://www.stackbox.xyz/,$4.00,,Logistics,Bengaluru,05/11/2025,https://entrackr.com/snippets/stackbox-raises-4-mn-led-by-enrission-india-capital-10624945
https://milletmight.com/,$3.00,,Snacks Brand,Coimbatore,04/11/2025,https://entrackr.com/snippets/tabp-snacks-and-beverages-raises-3-mn-led-by-lc-nueva-10620487
https://www.babyorgano.com/,$2.40,Pre-Series A,Personal Care,Ahmedabad,05/11/2025,https://entrackr.com/snippets/babyorgano-raises-rs-20-cr-led-by-rpsg-capital-ventures-10624239
https://www.meshdefend.ai/,$2.30,Pre-Seed,AI enterprise data infrastructure,Bengaluru,06/11/2025,https://entrackr.com/snippets/meshdefend-raises-23-mn-in-pre-seed-round-led-by-kalaari-capital-10626621
https://ulook.space/,$2.30,,Space Tech,Bengaluru,06/11/2025,https://entrackr.com/snippets/space-tech-startup-ulook-raises-rs-19-cr-led-by-growx-and-infoedge-ventures-10626626
https://gamestatelabs.com/,$2.00,Seed,Gaming,Bengaluru,06/11/2025,https://entrackr.com/snippets/game-state-labs-raises-2-mn-in-seed-round-10626752
https://protouchskin.com/,$2.00,Pre-Series A,Personal Care Brand,Ahmedabad,04/11/2025,https://entrackr.com/snippets/gvfl-leads-2-mn-pre-series-a-round-in-protouch-10621080
https://theartment.com/,$1.13,Pre-Series A,Home Decor,Gurugram,06/11/2025,https://entrackr.com/snippets/the-artment-raises-rs-10-cr-in-pre-series-a-round-led-by-ipv-10627232
https://www.tsallaaerospace.com/,$1.00,,Spacetech,Bengaluru,04/11/2025,https://entrackr.com/snippets/tsalla-aerospace-raises-1-mn-in-maiden-funding-round-10621088
Krieya,$0.79,,Beauty and Wellness,Delhi,05/11/2025,https://entrackr.com/snippets/krieya-raises-rs-7-cr-led-by-sauce-and-riverwalk-holdings-10624147
https://medyseva.com/,$0.45,Seed,Healthtech,Indore,05/11/2025,https://entrackr.com/snippets/medyseva-raises-rs-4-cr-led-by-unicorn-india-ventures-10623932
https://blyp.in/,$0.06,,Parking Solutions,Noida,04/11/2025,https://entrackr.com/snippets/parking-solutions-startup-blyp-raises-bridge-round-10620794
