Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.rideriver.com/,$40.00,Series B,EV,Bengaluru,06/02/2024,https://entrackr.com/2024/02/ev-startup-river-bags-40-mn-in-series-b-led-by-yamaha-motor-corp/
https://globalbees.com/,$18.00,Debt,E-Commerce,Delhi,07/02/2024,https://entrackr.com/2024/02/globalbees-raises-18-mn-in-debt-from-avendus/
https://mufingreenfinance.com/,$17.00,Series B,Fintech - NBFC Lending for EVs,Delhi,06/02/2024,https://entrackr.com/2024/02/mufin-green-finance-raises-rs-140-cr-in-series-b-round/
https://www.keus.in/,$12.00,,Home Automation,Hyderabad,05/02/2024,https://entrackr.com/2024/02/smart-home-automation-company-keus-raises-12-mn/
https://sportvot.com/,$11.13,Pre-Series A,Sports Tech,Mumbai,05/02/2024,https://entrackr.com/2024/02/omidyar-leads-pre-series-a-round-in-sportvot/
https://www.otocapital.in/,$10.00,,Fintech - Lending for Two Wheelers,Bengaluru,06/02/2024,https://entrackr.com/2024/02/two-wheeler-ev-finance-platform-oto-raises-10-mn/
https://www.bighaat.com/,$8.40,Series C,Agritech - E-Commerce,Bengaluru,07/02/2024,https://entrackr.com/2024/02/exclusive-agritech-startup-bighaat-kicks-off-series-c-round/
https://www.wishlink.com/,$7.00,Series A,E-Commerce - Creator Focused,Gurugram,05/02/2024,https://entrackr.com/2024/02/exclusive-wishlink-raises-7-mn-from-fundamentum-and-elevation/
https://www.devx.work/,$7.00,Equity + Debt,Co-working,Ahmedabad,05/02/2024,https://entrackr.com/2024/02/devx-raises-7-mn-in-equity-and-debt-round/
https://www.verse.in/,$6.25,Debt,Social Media,Bengaluru,07/02/2024,https://entrackr.com/2024/02/exclusive-dailyhunts-parent-verse-bags-rs-50-cr-debt/
https://www.metafin.in/,$5.00,,Fintech - NBFC Cleantech Lending,Parel,07/02/2024,https://economictimes.indiatimes.com/tech/funding/metafin-secures-5-million-in-funding-from-prime-venture-partners-others/articleshow/107483291.cms
https://www.khyaal.com/,$4.20,Seed,Services - Senior Citizens,Mumbai,06/02/2024,https://entrackr.com/2024/02/senior-citizen-app-khyaal-raises-4-2-mn-in-seed-round/
https://upliance.ai/,$4.00,Seed,Consumer Electronics - AI-powered Home Appliances,Bengaluru,08/02/2024,https://entrackr.com/2024/02/upliance-ai-raises-4-mn-led-by-khosla-ventures/
https://www.cashinvoice.in/,$3.40,Series A,Fintech,Mumbai,07/02/2024,https://entrackr.com/2024/02/cashinvoice-raises-3-4-mn-in-series-a-round/
https://adventumstudentliving.com/,$3.00,,Study Abroad Platform,Mumbai,06/02/2024,https://inc42.com/buzz/adventum-student-living-nets-3-mn-to-facilitate-overseas-study-opportunities/
https://controlz.world/,$3.00,Seed,E-Commerce - Premium Refurbished Smartphones,Gurugram,07/02/2024,https://entrackr.com/2024/02/controlz-secures-3-mn-in-seed-round/
https://snapecabs.com/,$2.50,Pre-Series A,EV - Ridehailing,Kolkata,05/02/2024,https://www.thehindubusinessline.com/companies/snap-e-cabs-raises-25-million-in-a-pre-series-a-round/article67813571.ece
https://neodocs.in/,$2.00,Seed,Healthtech,Mumbai,08/02/2024,https://entrackr.com/2024/02/omidyar-leads-2-mn-seed-round-in-neodocs/
https://rupyz.com/,$1.20,Seed,SaaS,Gurugram,05/02/2024,https://entrackr.com/2024/02/merak-ventures-leads-1-2-mn-round-in-saas-platform-rupyz/
https://www.goswirl.live/,$1.10,Seed,Video Commerce,Vadodara,06/02/2024,https://entrackr.com/2024/02/swirl-secures-1-1-mn-in-seed-round/
https://koparoclean.com/,$0.72,,E-Commerce - D2C homecare brand,Delhi,07/02/2024,https://entrackr.com/2024/02/koparo-raises-rs-6-cr-from-4p-capital-and-shark-tank-india/
https://www.piscium.in/,$0.72,Series A,Biotech - Healthtech,Mumbai,07/02/2024,https://entrackr.com/2024/02/piscium-raises-series-a-round-led-by-unicorn-india-ventures/
Ivory,$0.50,,Healthtech,Bengaluru,08/02/2024,https://entrackr.com/2024/02/agetech-startup-ivory-raise-500k/
https://www.torusrobotics.com/,$0.47,Seed,Deeptech,Chennai,07/02/2024,https://entrackr.com/2024/02/torus-robotics-raises-470k-seed-round-from-tnifmc/
https://www.papapawsome.com/,$0.40,Seed,E-Commerce - D2C Petcare Brand,Thane,05/02/2024,https://entrackr.com/2024/02/papa-pawsome-raises-400k-in-seed-round-led-by-ian/
https://www.etherealx.space/,,,Spacetech,Bengaluru,05/02/2024,https://entrackr.com/2024/02/spacetech-startup-etherealx-raises-first-funding-round/
