Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.cashfree.com/,$53.00,Series C,Fintech - Payments,Bengaluru,05/02/2025,https://entrackr.com/news/cashfree-payments-raises-53-mn-led-by-krafton-8690967
https://www.auxilo.com/,$5.75,Debt,NBFC - Education,Mumbai,07/02/2025,https://entrackr.com/exclusive/exclusive-motilal-oswal-invests-in-edtech-focused-nbfc-auxilo-8698681
https://www.hairoriginals.com/,$5.00,Series A,D2C Hair Extensions,Gurugram,05/02/2025,https://entrackr.com/snippets/hairoriginals-raises-5-mn-in-series-a-round-led-by-anicut-and-12-flags-8691637
https://nuawoman.com/,$4.00,Pre-Series C,Women’s wellness and hygiene,Mumbai,06/02/2025,https://entrackr.com/snippets/deepika-padukone-backed-wellness-brand-nua-raises-rs-35-cr-8695456
https://www.presentations.ai/,$3.00,Seed,AI,Bengaluru,04/02/2025,https://inc42.com/buzz/presentations-ai-bags-3-mn-to-roll-out-worlds-first-ai-powered-presentation-agent/
https://eduvanz.com/,$2.90,Bridge,Lending - Education,Mumbai,08/02/2025,https://entrackr.com/exclusive/exclusive-eduvanz-secures-bridge-round-at-35-lower-valuation-8702252
https://www.getastra.com/,$2.70,,Cybersecurity,Delhi,05/02/2025,https://inc42.com/buzz/astra-security-bags-2-7-mn-to-offer-cybersecurity-solutions-to-enterprises/
https://www.dfi-india.com/,$1.40,Seed,Drone battery,Bengaluru,05/02/2025,https://entrackr.com/snippets/dreamfly-innovations-raises-rs-12-cr-in-seed-round-8694299
https://mealawe.com/,$1.00,,Homemade food delivery,Pune,05/02/2025,https://entrackr.com/snippets/foodtech-startup-mealawe-raises-1-mn-in-new-round-8692490
https://fitspire.online/,$1.00,Bridge Round for Series A,Health and Nutrition,Delhi,05/02/2025,https://entrackr.com/snippets/nutrition-brand-fitspire-raises-1-mn-in-pre-series-a-round-8692614
https://www.quicklend.in/,$0.77,Pre-Seed,Fintech - lending against mutual funds,Bengaluru,05/02/2025,https://entrackr.com/snippets/quicklend-raises-rs-675-cr-in-pre-seed-round-8691890
https://babynama.com/,$0.70,Seed,Healthtech,Delhi,06/02/2025,https://entrackr.com/snippets/healthtech-startup-babynama-raises-700k-led-by-good-capital-8694916
https://www.presageinsights.ai/,$0.64,Seed,IoT and AI,Delhi,05/02/2025,https://entrackr.com/snippets/presage-insights-raises-seed-funding-round-8692558
https://origamis.ai/,$0.50,Seed,GenAI,Bengaluru,05/02/2025,https://entrackr.com/snippets/genai-startup-origamis-ai-raises-500k-in-seed-round-8692523
https://playsuper.club/,$0.50,Seed,Gaming commerce,Delhi,06/02/2025,https://entrackr.com/snippets/playsuper-raises-500k-in-seed-round-led-by-ian-group-and-100xvc-8695102
https://www.legup.in/,$0.23,Pre-Seed,Care giving,Bengaluru,07/02/2025,https://entrackr.com/snippets/caregiving-tech-startup-legup-raises-rs-2-cr-pre-seed-funding-8698887
https://www.coluxe.com/,,,Lab grown diamond,Delhi,04/02/2025,https://entrackr.com/snippets/priyanka-gills-lab-grown-diamond-brand-coluxe-raises-angel-funding-8688430
https://www.supergaming.com/,,,Gaming,Pune,04/02/2025,https://inc42.com/buzz/bandai-namco-doubles-down-on-supergaming/
