Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.batterysmart.in/,$45.00,Series B,EV - Battery,Gurugram,16/05/2024,https://entrackr.com/2024/05/battery-smart-mops-up-45-mn-in-new-funding-round/
https://propelld.com/,$25.00,Debt,Fintech - Edtech Lending,Bengaluru,17/05/2024,https://entrackr.com/2024/05/propelld-raises-25-mn-debt-for-nbfc-arm-edgro/
https://www.red.health/,$20.00,Series B,Ambulance Service Provider,Hyderabad,15/05/2024,https://entrackr.com/2024/05/ambulance-startup-red-health-raises-20-mn-in-series-b-round/
https://www.stanzaliving.com/,$13.00,,Managed Accommodation,New Delhi,18/05/2024,https://entrackr.com/2024/05/exclusive-stanza-living-raises-13-mn-led-by-alpha-wave/
https://rupeek.com/,$5.98,,Fintech - Gold Loan,Bengaluru,14/05/2024,https://entrackr.com/2024/05/exclusive-rupeek-raises-fresh-funds-at-60-valuation-cut/
https://www.celcius.in/,$4.79,Pre-Series B,Cold-chain marketplace,Mumbai,14/05/2024,https://entrackr.com/2024/05/celcius-logistics-raises-rs-40-cr-in-pre-series-b-round/
https://www.solarsquare.in/,$4.20,,Cleantech - Solar,Mumbai,16/05/2024,https://entrackr.com/2024/05/exclusive-solarsquare-raises-fresh-funds-from-zerodha-gruhas-others/
https://matel.co.in/,$4.00,Series A,EV - Powertrain and Motor Control Units Maker,Pune,16/05/2024,https://entrackr.com/2024/05/matel-raises-4-mn-in-series-a-round/
https://www.highperformr.ai/,$3.50,Seed,SaaS - Marketing,Chennai,14/05/2024,https://entrackr.com/2024/05/marketing-saas-platform-highperformr-ai-bags-3-5-mn-in-seed-round/
https://otpless.com/home,$3.50,Pre-Series A,Fintech - Security,Delhi,16/05/2024,https://entrackr.com/2024/05/bhavik-koladiya-led-otpless-raises-3-5-mn-led-by-sidbi/
https://stupaanalytics.com/,$3.35,Pre-Series A,Sports Analytics,Delhi,15/05/2024,https://entrackr.com/2024/05/stupa-sports-analytics-raises-rs-2-8-cr-in-pre-series-a-round/
https://drinkprime.in/,$3.00,,IoT-enabled Water Purifier,Bengaluru,15/05/2024,https://entrackr.com/2024/05/drinkprime-raises-3-mn-from-sidbi-ventures/
https://instaastro.com/,$2.30,Pre-Series A,Online Astrology,Noida,16/05/2024,https://entrackr.com/2024/05/instaastro-raises-2-3-mn-led-by-artha-venture-fund/
https://bimapay.in/,$2.00,,Insurtech,Delhi,14/05/2024,https://inc42.com/buzz/bimapay-nets-2-mn-to-offer-tech-based-insurance-solutions/
https://www.infurnia.com/,$1.20,Angel,SaaS,Bengaluru,15/05/2024,https://entrackr.com/2024/05/saas-startup-infurnia-raises-1-2-mn-in-angel-round/
https://thebetelleafco.com/,$1.20,Seed Bridge Round,E-Commerce - D2C Paan,Bengaluru,16/05/2024,https://entrackr.com/2024/05/d2c-paan-brand-the-betel-leaf-raises-1-2-mn-in-bridge-round/
https://beyobo.com/,$0.80,Pre-Series A,E-Commerce - B2B Cross-border,Delhi,13/05/2024,https://entrackr.com/2024/05/b2b-cross-border-e-com-startup-beyobo-raises-rs-6-7-cr/
https://sarla-aviation.com/,,Pre-Seed,EV - Flying Taxi,Bengaluru,13/05/2024,https://www.theweek.in/wire-updates/business/2024/05/13/dcm44-campus-fund.html
