Company,Amount ($M),Date,HQ,Sector,Series,Source
https://matel.co.in/,$4.00,16/05/2024,Pune,EV - Powertrain and Motor Control Units Maker,Series A,https://entrackr.com/2024/05/matel-raises-4-mn-in-series-a-round/
https://www.batterysmart.in/,$45.00,16/05/2024,Gurugram,EV - Battery,Series B,https://entrackr.com/2024/05/battery-smart-mops-up-45-mn-in-new-funding-round/
https://sarla-aviation.com/,,13/05/2024,Bengaluru,EV - Flying Taxi,Pre-Seed,https://www.theweek.in/wire-updates/business/2024/05/13/dcm44-campus-fund.html
https://www.infurnia.com/,$1.20,15/05/2024,Bengaluru,SaaS,Angel,https://entrackr.com/2024/05/saas-startup-infurnia-raises-1-2-mn-in-angel-round/
https://beyobo.com/,$0.80,13/05/2024,Delhi,E-Commerce - B2B Cross-border,Pre-Series A,https://entrackr.com/2024/05/b2b-cross-border-e-com-startup-beyobo-raises-rs-6-7-cr/
https://www.highperformr.ai/,$3.50,14/05/2024,Chennai,SaaS - Marketing,Seed,https://entrackr.com/2024/05/marketing-saas-platform-highperformr-ai-bags-3-5-mn-in-seed-round/
https://www.red.health/,$20.00,15/05/2024,Hyderabad,Ambulance Service Provider,Series B,https://entrackr.com/2024/05/ambulance-startup-red-health-raises-20-mn-in-series-b-round/
https://otpless.com/home,$3.50,16/05/2024,Delhi,Fintech - Security,Pre-Series A,https://entrackr.com/2024/05/bhavik-koladiya-led-otpless-raises-3-5-mn-led-by-sidbi/
https://instaastro.com/,$2.30,16/05/2024,Noida,Online Astrology,Pre-Series A,https://entrackr.com/2024/05/instaastro-raises-2-3-mn-led-by-artha-venture-fund/
https://rupeek.com/,$5.98,14/05/2024,Bengaluru,Fintech - Gold Loan,,https://entrackr.com/2024/05/exclusive-rupeek-raises-fresh-funds-at-60-valuation-cut/
https://www.celcius.in/,$4.79,14/05/2024,Mumbai,Cold-chain marketplace,Pre-Series B,https://entrackr.com/2024/05/celcius-logistics-raises-rs-40-cr-in-pre-series-b-round/
https://thebetelleafco.com/,$1.20,16/05/2024,Bengaluru,E-Commerce - D2C Paan,Seed Bridge Round,https://entrackr.com/2024/05/d2c-paan-brand-the-betel-leaf-raises-1-2-mn-in-bridge-round/
https://drinkprime.in/,$3.00,15/05/2024,Bengaluru,IoT-enabled Water Purifier,,https://entrackr.com/2024/05/drinkprime-raises-3-mn-from-sidbi-ventures/
https://propelld.com/,$25.00,17/05/2024,Bengaluru,Fintech - Edtech Lending,Debt,https://entrackr.com/2024/05/propelld-raises-25-mn-debt-for-nbfc-arm-edgro/
https://www.stanzaliving.com/,$13.00,18/05/2024,New Delhi,Managed Accommodation,,https://entrackr.com/2024/05/exclusive-stanza-living-raises-13-mn-led-by-alpha-wave/
https://bimapay.in/,$2.00,14/05/2024,Delhi,Insurtech,,https://inc42.com/buzz/bimapay-nets-2-mn-to-offer-tech-based-insurance-solutions/
https://stupaanalytics.com/,$3.35,15/05/2024,Delhi,Sports Analytics,Pre-Series A,https://entrackr.com/2024/05/stupa-sports-analytics-raises-rs-2-8-cr-in-pre-series-a-round/
https://www.solarsquare.in/,$4.20,16/05/2024,Mumbai,Cleantech - Solar,,https://entrackr.com/2024/05/exclusive-solarsquare-raises-fresh-funds-from-zerodha-gruhas-others/
