Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.farmley.com/,$40.00,Series C,Healthy Snacking Brand,Noida,12/05/2025,https://entrackr.com/news/farmley-raises-40-mn-in-series-c-round-led-by-l-catterton-9059167
http://www.nobelhygiene.com/,$20.00,,Healthcare,Mumbai,16/05/2025,https://entrackr.com/news/nobel-hygiene-secures-20-mn-from-neo-asset-management-9075303
https://celebaltech.com/,$15.00,Series B,IT Services,Jaipur,12/05/2025,https://inc42.com/buzz/celebal-nets-15-mn-to-build-ai-solutions-for-energy-manufacturing-sectors/
https://1indiafamilymart.com/,$12.00,Series D,Retail chain,Delhi,15/05/2025,https://entrackr.com/snippets/value-retail-chain-1-india-family-mart-raises-12-mn-in-series-d-round-9071077
https://www.m1xchange.com/,$10.00,,Fintech,Gurugram,12/05/2025,https://entrackr.com/news/amazon-backed-m1xchange-raises-10-mn-from-filter-capital-9060318
https://www.hocco.in/,$10.00,Series B,Ice Cream Brand,Ahmedabad,15/05/2025,https://entrackr.com/news/ice-cream-brand-hocco-raises-10-mn-in-first-close-of-series-b-round-9070468
https://www.stashfin.com/,$9.30,Debt,Fintech,Gurugram,13/05/2025,https://inc42.com/buzz/exclusive-stashfin-raises-inr-79-cr-debt-from-northern-arc-others/
https://www.biryaniblues.com/,$5.00,,QSR Chain,Gurugram,13/05/2025,https://entrackr.com/snippets/qsr-chain-biryani-blues-raises-5-mn-led-by-yugadi-capital-9063619
https://www.bluestone.com/,$4.70,Debt,Jewellery Brand,Bengaluru,14/05/2025,https://inc42.com/buzz/bluestone-bags-inr-40-cr-in-debt-from-blacksoil-others/
https://tieaconnectors.com/,$2.57,,Electrical Equipment Manufacturing,Dharwad,13/05/2025,https://entrackr.com/snippets/tiea-connectors-raises-rs-22-cr-co-led-by-jamwant-ventures-and-valour-capital-9064495
https://www.reelsaga.in/,$2.10,Seed,Mobile Entertainment,,14/05/2025,https://entrackr.com/snippets/reelsaga-raises-21-mn-in-seed-round-led-by-picus-capital-9067336
https://themedvital.com/,$0.98,Pre-Seed,Medtech,Gurugram,15/05/2025,https://entrackr.com/snippets/medtech-startup-medvital-raises-rs-84-cr-in-pre-seed-round-9072305
https://www.thirdbracket.in/,$0.58,Seed,Hiring Platform,Bengaluru,14/05/2025,https://entrackr.com/snippets/hiring-platform-third-bracket-raises-rs-5-cr-in-seed-round-9067442
https://www.luzo.app/,$0.55,Seed,Marketplace for Salons,Mumbai,14/05/2025,https://entrackr.com/snippets/luzo-raises-550k-in-seed-round-led-by-enrission-india-capital-9067496
https://www.citrusfreight.com/,$0.29,,Logistics,Bengaluru,12/05/2025,https://entrackr.com/snippets/reefer-container-shipping-platform-citrus-freight-raises-bridge-round-9060080
https://be-clinical.com/,$0.23,Seed,Skincare,Delhi,13/05/2025,https://entrackr.com/snippets/titan-capital-leads-seed-round-in-skincare-brand-be-clinical-9063574
https://www.naptapgo.com/,$0.23,Pre-Seed,Hospitality,Noida,15/05/2025,https://entrackr.com/snippets/pod-hotel-startup-naptapgo-raises-pre-seed-round-led-by-ipv-9070508
