Company,Amount ($M),Date,HQ,Sector,Series,Source
https://tieaconnectors.com/,$2.57,13/05/2025,Dharwad,Electrical Equipment Manufacturing,,https://entrackr.com/snippets/tiea-connectors-raises-rs-22-cr-co-led-by-jamwant-ventures-and-valour-capital-9064495
https://www.naptapgo.com/,$0.23,15/05/2025,Noida,Hospitality,Pre-Seed,https://entrackr.com/snippets/pod-hotel-startup-naptapgo-raises-pre-seed-round-led-by-ipv-9070508
https://www.luzo.app/,$0.55,14/05/2025,Mumbai,Marketplace for Salons,Seed,https://entrackr.com/snippets/luzo-raises-550k-in-seed-round-led-by-enrission-india-capital-9067496
https://www.stashfin.com/,$9.30,13/05/2025,Gurugram,Fintech,Debt,https://inc42.com/buzz/exclusive-stashfin-raises-inr-79-cr-debt-from-northern-arc-others/
https://www.farmley.com/,$40.00,12/05/2025,Noida,Healthy Snacking Brand,Series C,https://entrackr.com/news/farmley-raises-40-mn-in-series-c-round-led-by-l-catterton-9059167
https://www.m1xchange.com/,$10.00,12/05/2025,Gurugram,Fintech,,https://entrackr.com/news/amazon-backed-m1xchange-raises-10-mn-from-filter-capital-9060318
https://www.hocco.in/,$10.00,15/05/2025,Ahmedabad,Ice Cream Brand,Series B,https://entrackr.com/news/ice-cream-brand-hocco-raises-10-mn-in-first-close-of-series-b-round-9070468
https://www.thirdbracket.in/,$0.58,14/05/2025,Bengaluru,Hiring Platform,Seed,https://entrackr.com/snippets/hiring-platform-third-bracket-raises-rs-5-cr-in-seed-round-9067442
https://www.citrusfreight.com/,$0.29,12/05/2025,Bengaluru,Logistics,,https://entrackr.com/snippets/reefer-container-shipping-platform-citrus-freight-raises-bridge-round-9060080
https://celebaltech.com/,$15.00,12/05/2025,Jaipur,IT Services,Series B,https://inc42.com/buzz/celebal-nets-15-mn-to-build-ai-solutions-for-energy-manufacturing-sectors/
https://www.biryaniblues.com/,$5.00,13/05/2025,Gurugram,QSR Chain,,https://entrackr.com/snippets/qsr-chain-biryani-blues-raises-5-mn-led-by-yugadi-capital-9063619
https://www.reelsaga.in/,$2.10,14/05/2025,,Mobile Entertainment,Seed,https://entrackr.com/snippets/reelsaga-raises-21-mn-in-seed-round-led-by-picus-capital-9067336
http://www.nobelhygiene.com/,$20.00,16/05/2025,Mumbai,Healthcare,,https://entrackr.com/news/nobel-hygiene-secures-20-mn-from-neo-asset-management-9075303
https://1indiafamilymart.com/,$12.00,15/05/2025,Delhi,Retail chain,Series D,https://entrackr.com/snippets/value-retail-chain-1-india-family-mart-raises-12-mn-in-series-d-round-9071077
https://be-clinical.com/,$0.23,13/05/2025,Delhi,Skincare,Seed,https://entrackr.com/snippets/titan-capital-leads-seed-round-in-skincare-brand-be-clinical-9063574
https://themedvital.com/,$0.98,15/05/2025,Gurugram,Medtech,Pre-Seed,https://entrackr.com/snippets/medtech-startup-medvital-raises-rs-84-cr-in-pre-seed-round-9072305
https://www.bluestone.com/,$4.70,14/05/2025,Bengaluru,Jewellery Brand,Debt,https://inc42.com/buzz/bluestone-bags-inr-40-cr-in-debt-from-blacksoil-others/
