Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.atherenergy.com/,$71.00,,EV,Bengaluru,13/08/2024,https://economictimes.indiatimes.com/tech/funding/ather-enters-unicorn-lane-with-71-million-from-govts-niif/articleshow/112474512.cms?from=mdr
https://www.letsbeco.com/,$10.00,Pre-Series B,Eco-friendly home and kitchen brand,Mumbai,13/08/2024,https://entrackr.com/2024/08/beco-raises-10-mn-in-pre-series-b-round-led-by-tanglin/
https://www.kazam.in/,$8.00,Series A,EV Charging,Bengaluru,12/08/2024,https://entrackr.com/2024/08/e-mobility-startup-kazam-raises-8-mn-led-by-vertex-ventures/
https://4basecare.com/,$6.00,Series A,Healthcare - Biotech,Bengaluru,12/08/2024,https://entrackr.com/2024/08/4basecare-raises-6-mn-in-series-a-round-led-by-yali-capital/
https://www.skydo.com/,$5.00,Pre-Series A,Fintech - Cross Border Payments,Bengaluru,13/08/2024,https://entrackr.com/2024/08/skydo-raises-5-mn-led-by-elevation-capital/
https://www.infinyte.club/,$3.60,,Fintech - Wealthtech,Bengaluru,12/08/2024,https://entrackr.com/2024/08/wealthtech-startup-infinyte-club-raises-3-6-mn-led-by-elevation/
https://www.truva.in/,$3.00,Seed,Proptech,Mumbai,12/08/2024,https://entrackr.com/2024/08/proptech-startup-truva-raises-3-mn-led-by-stellaris/
https://www.eyerov.com/,$1.20,Pre-Series A,Marine Robotics,Kochi,13/08/2024,https://entrackr.com/2024/08/marine-robotics-startup-eyerov-raises-1-2-mn-in-pre-series-a/
https://healthcred.co.in/,$1.20,Seed,B2B Healthcare Financing,Bengaluru,12/08/2024,https://entrackr.com/2024/08/healthcred-raises-1-2-mn-in-seed-round/
https://www.sixsensemobility.com/home,$0.71,Seed,Smart Mobility,Delhi,14/08/2024,https://entrackr.com/2024/08/piper-serica-invests-in-six-sense-mobility/
https://haldenluxury.com/,$0.60,Seed,Men’s Luxury Brand,Mumbai,12/08/2024,https://entrackr.com/2024/08/halden-secures-rs-5-cr-from-prajay-advisors/
https://www.miclient.ai/,$0.46,Seed,AI B2B Sales Enablement Platform,Gurugram,12/08/2024,https://entrackr.com/2024/08/miclient-raises-seed-round-from-ian-group-others/
https://www.ziptrrip.com/,$0.24,Pre-Seed,Traveltech,Mumbai,12/08/2024,https://entrackr.com/2024/08/travel-tech-startup-ziptrrip-raises-pre-seed-roundtravel-tech-startup-ziptrrip-raises-pre-seed-round/
https://adukale.com/,,,FMCG Brand,Bengaluru,12/08/2024,https://entrackr.com/2024/08/nuventures-backs-traditional-snacks-brands-adukale/
https://cricheroes.com/,,Series B,Sportstech,Ahmedabad,13/08/2024,https://entrackr.com/2024/08/venture-catalysts-invests-in-games24x7-backed-cricheroes/
