Company,Amount ($M),Series,Sector,HQ,Date,Source
http://www.truemeds.in/,$85.00,Series C,Online Pharmacy,Mumbai,11/08/2025,https://entrackr.com/news/truemeds-closes-85-mn-series-c-round-led-by-accel-and-peakxv-9647343
https://www.zeptonow.com/,$46.00,,Quick Commerce,Mumbai,12/08/2025,https://entrackr.com/news/zepto-secures-rs-400-cr-investment-from-motilal-oswal-9654008
https://www.darwinbox.com/,$40.00,,SaaS,Hyderabad,14/08/2025,https://entrackr.com/news/darwinbox-raises-40-mn-funding-from-canadas-otpp-9661041
https://www.ultraviolette.com/,$21.00,,EV,Bengaluru,12/08/2025,https://entrackr.com/news/electric-bike-startup-ultraviolette-raises-21-mn-led-by-tdk-ventures-9653374
https://www.kimirica.shop/,$15.00,,Vegan Self-Care,Indore,12/08/2025,https://entrackr.com/snippets/vikas-khemanis-carnelian-invests-15-mn-in-kimirica-9652283
https://shivalikbank.com/,$11.50,,Fintech - Lending,Delhi-NCR,14/08/2025,https://entrackr.com/snippets/shivalik-small-finance-bank-raises-rs-100-cr-from-smbc-accel-lightspeed-others-9658708
https://www.withpronto.com/,$11.00,,Home Services,Gurugram,12/08/2025,https://entrackr.com/news/home-services-startup-pronto-raises-11-mn-led-by-general-catalyst-9650959
https://www.elivaas.com/,$10.00,Series B,Hospitality,Gurugram,12/08/2025,https://entrackr.com/news/elivaas-raises-rs-87-cr-in-series-b-round-led-by-vertex-ventures-9650847
https://eyestem.com/,$10.00,Series B,Biotech,Bengaluru,11/08/2025,https://entrackr.com/snippets/eyestem-research-bags-10-mn-in-series-b-round-9647866
https://www.bwtech.in/,$7.00,Series A,Electronics Manufacturing,Mumbai,12/08/2025,https://entrackr.com/snippets/cactus-partners-leads-7-mn-series-a-round-in-brandworks-technologies-9652921
https://aceblend.com/,$3.30,Pre-Series A,Nutrition Brand,Mumbai,12/08/2025,https://entrackr.com/snippets/nutrition-brand-ace-blend-raises-33-mn-led-by-fireside-ventures-9652792
https://www.olee.space/,$3.00,Seed,Spacetech,Pune,13/08/2025,https://entrackr.com/snippets/oleespace-raises-3-mn-in-seed-round-led-by-rockstud-capital-9655137
https://www.fairdeal.market/,$3.00,Pre-Series A,B2B Quick Commerce,Gurugram,12/08/2025,https://entrackr.com/snippets/fairdeal-raises-3-mn-led-by-incubate-fund-asia-and-waterbridge-9651122
https://www.manastuspace.com/,$3.00,,Spacetech,Mumbai,12/08/2025,https://entrackr.com/snippets/spacetech-startup-manastu-space-raises-3-mn-led-by-capital-a-9651060
https://www.holidaytribe.com/,$2.85,Pre-Series A,Travel-tech,Gurugram,12/08/2025,https://entrackr.com/snippets/holiday-tribe-raises-rs-25-cr-in-pre-series-a-round-9653385
https://neuralzome.com/,$2.40,Pre-Seed,Robotics,Bengaluru,11/08/2025,https://entrackr.com/snippets/neuralzome-cybernetic-raises-24-mn-led-by-8x-ventures-9646812
https://www.comminent.com/,$2.00,,IoT,Bengaluru,13/08/2025,https://entrackr.com/snippets/deeptech-startup-comminent-raises-2-mn-from-transition-vc-9654918
https://www.elever.app/,$1.10,Pre-Series A,Fintech - Portfolio Management,Bengaluru,12/08/2025,https://entrackr.com/snippets/elever-raises-11-mn-in-pre-series-a-round-led-by-brand-capital-9651899
https://trackk.in/,$1.00,Seed,Fintech - Trading,Mumbai,12/08/2025,https://entrackr.com/snippets/trading-platform-trackk-raises-1-mn-in-seed-round-9652110
https://www.cureous.in/,$0.19,Seed,Healthtech,Bengaluru,13/08/2025,https://entrackr.com/snippets/cureous-labs-raises-rs-166-cr-in-seed-round-9655177
