Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.sarvagram.com/,$66.89,Series D,Rural credit,Pune,14/11/2024,https://yourstory.com/2024/11/rural-lending-startup-sarvagram-rs-565-crore-series-d-funding-peak-xv
https://www.wheelocity.com/,$15.00,,B2C Fresh Commerce,Chennai,12/11/2024,https://yourstory.com/2024/11/wheelocity-raises-15-million-lightspeed-anicut-alteria-fresh-produce
https://www.eplane.ai/,$14.00,Series B,Flying Taxi,Chennai,13/11/2024,https://techcrunch.com/2024/11/13/eplane-looks-to-ride-the-indian-governments-interest-in-air-taxis-with-new-14m-round/
https://www.equal.in/,$10.00,Series A,ID Verification/SaaS,Hyderabad,11/11/2024,https://entrackr.com/snippets/id-verification-startup-equal-raises-10-mn-led-by-prosus-others-7570622
https://www.ugaoo.com/,$5.50,Series A,Gardening,Pune,12/11/2024,https://entrackr.com/snippets/urban-gardening-firm-ugaoo-raises-rs-47-cr-in-series-a-7573861
https://www.funstop.io/,$5.00,Series A,Casual Mobile Games,Delhi,13/11/2024,https://entrackr.com/snippets/funstop-games-raises-5-mn-in-series-a-round-7577021
https://www.bitespeed.co/,$3.50,Pre-Series A,SaaS,Bengaluru,13/11/2024,https://entrackr.com/snippets/peak-xvs-surge-leads-35-mn-pre-series-a-round-in-bitespeed-7577047
https://www.airbound.co/,$1.70,Seed,Drone,Bengaluru,14/11/2024,https://entrackr.com/snippets/dronetech-startup-airbound-raises-17-mn-in-seed-capital-7580748
https://indiaivf.co.in/,$1.24,Pre-Series A,IVF,New Delhi,12/11/2024,https://entrackr.com/snippets/india-ivf-raises-124-mn-in-pre-series-a-7574397
https://designx.in/,$1.00,Pre-Series A,Shopfloor Hyper-Automation,Noida,12/11/2024,https://entrackr.com/snippets/piper-serica-angel-fund-leads-1-mn-round-in-designx-7573980
https://www.pikndel.in/,$1.00,Seed,Logistics,New Delhi,13/11/2024,https://entrackr.com/snippets/vc-grid-leads-1-mn-seed-round-for-pikndel-7577758
https://stampmyvisa.com/,$0.78,Pre-Series A,B2B Visa Services,Mumbai,12/11/2024,https://entrackr.com/snippets/unicorn-india-ventures-backs-b2b-visa-platform-stampmyvisa-7574389
https://www.legalkart.com/,$0.77,,Legaltech,Gurugram,14/11/2024,https://entrackr.com/snippets/legaltech-startup-legalkart-raises-rs-65-cr-in-fresh-round-7580531
https://ctpl.io/,$0.59,,Admissions as a service,Gurugram,12/11/2024,https://entrackr.com/snippets/physis-capital-marks-second-investment-of-rs-5-cr-in-ctpl-7573889
https://www.mushinlabs.com/,$0.25,Seed,SaaS,New Delhi,14/11/2024,https://entrackr.com/snippets/ipv-invests-saas-startup-mushin-innovative-labs-7579803
