Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.finnable.com/,$60.00,,Fintech,Bengaluru,11/11/2025,https://entrackr.com/news/finnable-raises-rs-250-cr-led-by-z47-and-tvs-capital-10646294
https://www.bombayshavingcompany.com/,$16.30,,Personal Care,Gurugram,12/11/2025,https://inc42.com/buzz/bombay-shaving-company-bags-inr-136-cr-to-expand-retail-footprint/
http://www.aequs.com/,$16.20,Pre-IPO,Contract Manufacturing,Belgaum,11/11/2025,https://inc42.com/buzz/aequs-raises-inr-144-cr-via-pre-ipo-placement/
https://www.bwtech.in/,$11.00,Series A," electronics manufacturing",Mumbai,13/11/2025,https://entrackr.com/snippets/brandworks-technologies-closes-11-mn-series-a-round-10652969
https://www.mindtalk.in/,$7.30,,Health Tech,Bengaluru,11/11/2025,https://entrackr.com/snippets/digital-mental-health-platform-mindtalk-raises-73-mn-from-cadabams-group-10647850
https://www.codeyoung.com/,$5.00,Series A,Edtech,Bengaluru,14/11/2025,https://entrackr.com/snippets/codeyoung-raises-5-mn-in-series-a-round-from-12-flags-and-enzia-ventures-10759413
https://hrsnavigation.com/,$5.00,Pre-Series A,Med Tech,Bengaluru,12/11/2025,https://entrackr.com/snippets/med-tech-company-hrs-navigation-raises-5-mn-in-pre-series-a-round-10650219
https://hausandkinder.com/,$3.30,,Home and Lifestyle Brand,Mumbai,12/11/2025,https://entrackr.com/snippets/d2c-brand-haus-kinder-raises-33-mn-led-by-sauce-vc-10650554
https://shoppin.app/,$3.00,Seed,Fashion,Gurugram,11/11/2025,https://inc42.com/buzz/shoppin-raises-3-mn-to-expand-its-ai-led-shopping-experience/
https://www.quickshift.in/,$2.60,Pre-Series A,Logistics,Pune,11/11/2025,https://entrackr.com/snippets/quickshift-raises-rs-22-cr-in-pre-series-a-round-led-by-atomic-capital-10646544
https://www.nia.one/,$2.40,Seed,full-stack platform for gig and blue-collar workforce,Mumbai,14/11/2025,https://entrackr.com/snippets/niaone-raises-24-mn-in-seed-round-from-elevar-equity-10698248
https://nyayanidhi.com/,$2.00,Seed,Legal Tech,Bengaluru,12/11/2025,https://entrackr.com/snippets/legal-tech-startup-nyayanidhi-raises-2-mn-led-by-3one4-capital-10650103
https://forearthssake.co.in/,$1.00,Pre-Series A,Cafe Chain,Gurugram,12/11/2025,https://entrackr.com/snippets/fes-cafe-raises-pre-series-a-round-led-by-12-flags-10650706
https://www.praan.health/,$0.96,Seed,Health-tech,Bengaluru,11/11/2025,https://entrackr.com/snippets/praan-health-raises-85-cr-in-seed-round-led-by-rainmatter-investments-10646601
https://anddonehair.com/?gad_source=1&gad_campaignid=22806585556&gbraid=0AAAABAh57mmu03yzx_FDpUpThCd3JT6tZ&gclid=CjwKCAiAoNbIBhB5EiwAZFbYGLlYFpzmrqZ4ZQqI0_CnuBs1BHv-DIqqQurQ_xq6sacGK7FRXDkXaBoCiD8QAvD_BwE,$0.78,Pre-Seed,Haircare,Gurugram,12/11/2025,https://entrackr.com/snippets/haircare-brand-done-raises-rs-65-cr-led-by-all-in-capital-10649633
https://www.iamalive.app/,$0.68,,Experience Tech,Bengaluru,13/11/2025,https://entrackr.com/snippets/experience-tech-startup-alive-raises-rs-6-cr-from-powerhouse-ventures-10653499
https://www.coratia.com/,$0.56,,Deep Tech,Rourkela,12/11/2025,https://entrackr.com/snippets/coratia-technologies-raises-rs-5-cr-led-by-piper-serica-angel-fund-10650913
https://www.mydoco.in/,$0.54,Pre-Seed,Rural distribution,Ghaziabad,12/11/2025,https://entrackr.com/snippets/gvfl-and-malpani-ventures-lead-pre-seed-round-in-doco-10650190
https://extramileplay.com/,$0.50,Seed,Gamified employee engagement,Mumbai,14/11/2025,https://entrackr.com/snippets/extramile-play-raises-500k-in-seed-round-led-by-gsf-10691021
https://www.trishulspace.com/,$0.48,Pre-Seed,Rocket Propulsion,Delhi,13/11/2025,https://entrackr.com/snippets/trishul-space-raises-rs-4-cr-in-pre-seed-round-led-by-ian-angel-fund-10653494
https://www.eventplanet.in/,$0.25,Angel,Wedding Planning,Lucknow,13/11/2025,https://entrackr.com/snippets/event-planet-technologies-raises-250k-in-angel-round-10653489
https://www.aykacontrolsystems.in/,$0.13,Pre-Seed,EV Charging,Mumbai,13/11/2025,https://entrackr.com/snippets/acs-energy-raises-rs-11-cr-in-pre-seed-round-led-by-ipv-10653164
