Company,Amount ($M),Date,HQ,Sector,Series,Source
https://nyayanidhi.com/,$2.00,12/11/2025,Bengaluru,Legal Tech,Seed,https://entrackr.com/snippets/legal-tech-startup-nyayanidhi-raises-2-mn-led-by-3one4-capital-10650103
https://www.mydoco.in/,$0.54,12/11/2025,Ghaziabad,Rural distribution,Pre-Seed,https://entrackr.com/snippets/gvfl-and-malpani-ventures-lead-pre-seed-round-in-doco-10650190
https://www.bombayshavingcompany.com/,$16.30,12/11/2025,Gurugram,Personal Care,,https://inc42.com/buzz/bombay-shaving-company-bags-inr-136-cr-to-expand-retail-footprint/
https://www.eventplanet.in/,$0.25,13/11/2025,Lucknow,Wedding Planning,Angel,https://entrackr.com/snippets/event-planet-technologies-raises-250k-in-angel-round-10653489
https://www.aykacontrolsystems.in/,$0.13,13/11/2025,Mumbai,EV Charging,Pre-Seed,https://entrackr.com/snippets/acs-energy-raises-rs-11-cr-in-pre-seed-round-led-by-ipv-10653164
https://shoppin.app/,$3.00,11/11/2025,Gurugram,Fashion,Seed,https://inc42.com/buzz/shoppin-raises-3-mn-to-expand-its-ai-led-shopping-experience/
https://www.iamalive.app/,$0.68,13/11/2025,Bengaluru,Experience Tech,,https://entrackr.com/snippets/experience-tech-startup-alive-raises-rs-6-cr-from-powerhouse-ventures-10653499
https://www.coratia.com/,$0.56,12/11/2025,Rourkela,Deep Tech,,https://entrackr.com/snippets/coratia-technologies-raises-rs-5-cr-led-by-piper-serica-angel-fund-10650913
https://www.trishulspace.com/,$0.48,13/11/2025,Delhi,Rocket Propulsion,Pre-Seed,https://entrackr.com/snippets/trishul-space-raises-rs-4-cr-in-pre-seed-round-led-by-ian-angel-fund-10653494
https://hausandkinder.com/,$3.30,12/11/2025,Mumbai,Home and Lifestyle Brand,,https://entrackr.com/snippets/d2c-brand-haus-kinder-raises-33-mn-led-by-sauce-vc-10650554
https://www.bwtech.in/,$11.00,13/11/2025,Mumbai," electronics manufacturing",Series A,https://entrackr.com/snippets/brandworks-technologies-closes-11-mn-series-a-round-10652969
https://www.quickshift.in/,$2.60,11/11/2025,Pune,Logistics,Pre-Series A,https://entrackr.com/snippets/quickshift-raises-rs-22-cr-in-pre-series-a-round-led-by-atomic-capital-10646544
https://anddonehair.com/?gad_source=1&gad_campaignid=22806585556&gbraid=0AAAABAh57mmu03yzx_FDpUpThCd3JT6tZ&gclid=CjwKCAiAoNbIBhB5EiwAZFbYGLlYFpzmrqZ4ZQqI0_CnuBs1BHv-DIqqQurQ_xq6sacGK7FRXDkXaBoCiD8QAvD_BwE,$0.78,12/11/2025,Gurugram,Haircare,Pre-Seed,https://entrackr.com/snippets/haircare-brand-done-raises-rs-65-cr-led-by-all-in-capital-10649633
https://forearthssake.co.in/,$1.00,12/11/2025,Gurugram,Cafe Chain,Pre-Series A,https://entrackr.com/snippets/fes-cafe-raises-pre-series-a-round-led-by-12-flags-10650706
https://www.finnable.com/,$60.00,11/11/2025,Bengaluru,Fintech,,https://entrackr.com/news/finnable-raises-rs-250-cr-led-by-z47-and-tvs-capital-10646294
http://www.aequs.com/,$16.20,11/11/2025,Belgaum,Contract Manufacturing,Pre-IPO,https://inc42.com/buzz/aequs-raises-inr-144-cr-via-pre-ipo-placement/
https://hrsnavigation.com/,$5.00,12/11/2025,Bengaluru,Med Tech,Pre-Series A,https://entrackr.com/snippets/med-tech-company-hrs-navigation-raises-5-mn-in-pre-series-a-round-10650219
https://www.mindtalk.in/,$7.30,11/11/2025,Bengaluru,Health Tech,,https://entrackr.com/snippets/digital-mental-health-platform-mindtalk-raises-73-mn-from-cadabams-group-10647850
https://www.codeyoung.com/,$5.00,14/11/2025,Bengaluru,Edtech,Series A,https://entrackr.com/snippets/codeyoung-raises-5-mn-in-series-a-round-from-12-flags-and-enzia-ventures-10759413
https://www.praan.health/,$0.96,11/11/2025,Bengaluru,Health-tech,Seed,https://entrackr.com/snippets/praan-health-raises-85-cr-in-seed-round-led-by-rainmatter-investments-10646601
https://www.nia.one/,$2.40,14/11/2025,Mumbai,full-stack platform for gig and blue-collar workforce,Seed,https://entrackr.com/snippets/niaone-raises-24-mn-in-seed-round-from-elevar-equity-10698248
https://extramileplay.com/,$0.50,14/11/2025,Mumbai,Gamified employee engagement,Seed,https://entrackr.com/snippets/extramile-play-raises-500k-in-seed-round-led-by-gsf-10691021
