Company,Amount ($M),Series,Sector,HQ,Date,Source
https://amberstudent.com/,$21.00,Equity + Debt,Real Estate - Student Accomodation,Pune,12/02/2024,https://economictimes.indiatimes.com/tech/funding/student-accommodation-platform-amber-raises-21-million-led-by-gaja-capital/articleshow/107604636.cms?from=mdr
https://astrotalk.com/,$20.00,Series A,"Astrology - Spiritual Tech ",Noida,12/02/2024,https://entrackr.com/2024/02/astrotalk-raises-20-mn-from-left-lane-capital/
https://supertails.com/,$15.00,Series B,E-Commerce - Petcare Products,Bengaluru,13/02/2024,https://entrackr.com/2024/02/pet-care-startup-supertails-scoops-up-15-mn-in-series-b/
https://www.metalbook.co.in/,$15.00,Series A,E-Commerce - metal and other commodities,Gurugram,15/02/2024,https://entrackr.com/2024/02/metalbook-raises-15-mn-in-series-a-round/
https://www.captainfresh.in/,$7.00,Series C,B2B E-Commerce - Seafood,Bengaluru,13/02/2024,https://inc42.com/buzz/exclusive-captain-fresh-to-raise-7-mn-funding-from-british-international-investment/
https://ayekart.com/,$6.50,Series A,Fintech - Agritech,Mumbai,15/02/2024,https://entrackr.com/2024/02/ayekart-raises-6-5-mn-in-series-a-led-by-omnivore/
https://booking.torkmotors.com/,$6.00,,EV - Electric Motorcycles,Pune,13/02/2024,https://entrackr.com/2024/02/exclusive-bharat-forge-backed-tork-motors-raises-6-mn-in-new-round/
https://www.veera.com/,$6.00,Seed,Mobile Browser,Mumbai,15/02/2024,https://entrackr.com/2024/02/veera-raises-6-mn-in-seed-round-led-by-ayon-capital/
https://www.explurger.com/,$4.50,Series A,Social Media for Travellers,Delhi,14/02/2024,https://economictimes.indiatimes.com/tech/funding/explurger-raises-4-5-million-in-series-a-round/articleshow/107686689.cms
https://yufoodlabs.com/,$2.40,Series A,E-Commerce - Instant Food Brand,Gurugram,12/02/2024,https://entrackr.com/2024/02/consumer-foods-brand-yu-raises-rs-20-cr-in-follow-on-series-a-round/
https://www.noccarc.com/,$2.00,Seed,Healthtech,Pune,13/02/2024,https://entrackr.com/2024/02/medical-devices-startup-noccarc-raises-2-mn-led-by-ian/
https://www.segwise.ai/,$1.60,Pre-Seed,AI,Bengaluru,14/02/2024,https://entrackr.com/2024/02/segwise-raises-1-6-mn-from-powerhouse-ventures-others/
https://www.happi-planet.com/,$1.00,Seed,E-Commerce - Homecare Products,Mumbai,13/02/2024,https://inc42.com/buzz/happi-planet-bags-funding-from-fireside-ventures-to-offer-non-toxic-home-care-products/
https://www.corritelectric.com/,$0.60,,EV,Noida,12/02/2024,https://entrackr.com/2024/02/ev-manufacturing-startup-corrit-electric-raises-rs-5-cr/
https://www.pocketatm.in/index.html,$0.40,Pre-Seed,Fintech,Bengaluru,13/02/2024,https://entrackr.com/2024/02/fintech-startup-pocketatm-raises-pre-seed-round/
https://scandalousfoods.in/,$0.36,Pre-Seed,Foodtech - B2B Sweets,Mumbai,14/02/2024,https://entrackr.com/2024/02/scandalous-foods-closes-pre-seed-round/
https://idckitchen.com/,$0.18,Debt,E-Commerce - Food,Bengaluru,15/02/2024,https://entrackr.com/2024/02/idc-kitchen-raises-funds-from-velocity/
https://consciouschemist.com/,$0.12,Debt,E-Commerce - Skincare brand,Gurugram,13/02/2024,https://entrackr.com/2024/02/conscious-chemist-raises-debt-from-recur/
https://arcatron.com/,,,Medtech,Pune,15/02/2024,https://entrackr.com/2024/02/orbimed-invests-in-wheelchair-maker-arcatron/
https://frubon.com/index.php,,Series A,Dairy Brand,Jaipur,13/02/2024,https://inc42.com/buzz/dairytech-startup-frubon-bags-series-a-funding-to-grow-retail-footprint-across-north-india/
