Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.tonetag.com/,$78.00,Series B,Fintech - Payments,Bengaluru,11/02/2025,https://entrackr.com/news/amazon-backed-tonetag-secures-78-mn-after-7-year-hiatus-8709604
https://www.spotdraft.com/,$54.00,Series B,SaaS - Contract Lifecycle Management,Bengaluru,13/02/2025,https://entrackr.com/news/spotdraft-raises-54-mn-in-series-b-round-8715669
https://rapido.bike/,$29.70,Series E,Bike Taxi,Bengaluru,12/02/2025,https://entrackr.com/news/rapido-raises-rs-250-cr-from-prosus-as-part-of-series-e-round-8713477
https://www.lucidity.cloud/,$21.00,Series A,Cloud Storage Management,Bengaluru,12/02/2025,https://entrackr.com/news/lucidity-raises-21-mn-in-series-a-led-by-westbridge-8714913
https://thewholetruthfoods.com/,$15.31,Series C,D2C - Healthy Protein Bar,Mumbai,11/02/2025,https://yourstory.com/2025/02/whole-truth-bags-rs-1333cr-series-c-round-valuation
https://www.borderplus.co/,$7.00,Pre-Seed,cross-border workforce mobility,Mumbai,10/02/2025,https://entrackr.com/snippets/borderplus-raises-7-mn-led-by-owl-ventures-8706328
https://www.boldcare.in/,$5.00,Series A,Sexual Health and Wellness,Mumbai,11/02/2025,https://entrackr.com/snippets/mens-sexual-health-brand-bold-care-raises-5-mn-8709845
https://www.capgrid.in/,$5.00,Series A,B2B Manufacturing,Gurugram,12/02/2025,https://entrackr.com/snippets/capgrid-solutions-raises-5-mn-led-by-anicut-capital-8712841
https://www.nivaancare.com/,$4.25,Seed,Healthcare,Delhi,12/02/2025,https://entrackr.com/snippets/nivaan-care-raises-425-mn-led-by-endiya-partners-8713038
https://toonsutra.com/,$3.20,Seed,Webtoon app,Bengaluru,12/02/2025,https://inc42.com/buzz/webtoon-comic-app-toonsutra-bags-3-2-mn-from-google-others/#
https://www.mysa.io/,$2.80,Seed,Fintech,Bengaluru,12/02/2025,https://entrackr.com/snippets/fintech-startup-mysa-28-mn-led-by-blume-ventures-8712976
https://www.anscer.com/,$2.00,Seed,Robotics,Bengaluru,13/02/2025,https://inc42.com/buzz/anscer-robotics-secures-2-mn-from-info-edge-ventures/
https://www.energycompany.in/,$2.00,Pre-Series A,EV Battery,Bengaluru,10/02/2025,https://yourstory.com/2025/02/energy-company-bags-2m-pre-seriesa-funding
https://arthalpha.in/,$2.00,Seed,Fintech - investment,Bengaluru,12/02/2025,https://entrackr.com/snippets/dsp-leads-2-mn-seed-round-in-arthalpha-8713124
https://almonds.ai/,$1.90,,Rewards and Loyalty Program Website,Gurugram,14/02/2025,https://entrackr.com/snippets/almonds-ai-raises-rs-16-cr-in-seed-funding-round-8720730
https://cherrapunji.co/,$1.20,Pre-Series A,Alcohol Brand,Cherrapunji,14/02/2025,https://entrackr.com/snippets/cherrapunji-craft-gin-raises-12-mn-in-pre-series-a-round-8719814
https://www.vidysea.com/,$1.00,Seed,Edtech,Noida,12/02/2025,https://entrackr.com/snippets/edtech-startup-vidysea-bags-1-mn-in-seed-round-8713649
https://www.rupeeflo.com/,$1.00,Pre-Seed,Fintech,Bengaluru,10/02/2025,https://entrackr.com/snippets/rupeeflo-raises-1-mn-from-piper-serica-8706125
https://gorally.in/,$0.75,Pre-Seed,"Sports ",Bengaluru,12/02/2025,https://entrackr.com/snippets/pickleball-chain-gorally-raises-750k-in-pre-seed-funding-8713152
https://www.stepout.ai/,$0.50,Seed,Sportstech - Performance Analysis,Bengaluru,12/02/2025,https://entrackr.com/snippets/sportstech-startup-stepout-raises-500k-in-seed-round-8712862
https://croftbeverages.com/,$0.13,Pre-Seed,Tea,Coimbatore,11/02/2025,https://entrackr.com/snippets/croft-beverages-raises-pre-seed-funding-round-8710613
