Company,Amount ($M),Series,Sector,HQ,Date,Source
https://navi.com/,$18.00,,Fintech,Bengaluru,22/05/2024,https://entrackr.com/2024/05/exclusive-sachin-bansals-navi-raises-rs-150-cr-via-ncds/
https://www.dvarakgfs.com/,$10.00,Debt,Fintech - Lending,Chennai,24/05/2024,https://entrackr.com/2024/05/dvara-kgfs-bags-10-mn-in-debt-round/
https://varthana.com/,$3.00,Debt,Fintech - Education Lending,Bengaluru,20/05/2024,https://entrackr.com/2024/05/varthana-raises-3-mn-from-triodos-investment-management/
https://www.noponano.com/,$3.00,Pre-Series A,Nanotechnology,Bengaluru,22/05/2024,https://entrackr.com/2024/05/nopo-nanotechnologies-raises-3-mn-in-pre-series-a-round/
https://portl.co/,$3.00,,Healthtech,Hyderabad,23/05/2024,https://entrackr.com/2024/05/portl-bags-3-mn-from-bharat-innovation-fund/
https://mynvax.com/,$2.60,Extended Series A,Biotech,Bengaluru,24/05/2024,https://entrackr.com/2024/05/exclusive-accel-backed-biotech-startup-mynvax-raises-fresh-funds/
https://www.foxy.in/,$2.60,,E-Commerce,New Delhi,24/05/2024,https://entrackr.com/2024/05/exclusive-lightspeed-backs-ekaneks-foxy-almost-after-four-years/
https://vaaree.com/,$2.50,Pre-Series A,Home Decor,Bengaluru,24/05/2024,https://entrackr.com/2024/05/exclusive-home-decor-startup-vaaree-kicks-off-new-round/
ProsParity,$2.00,Pre-Seed,Fintech - EV Financing,Mumbai,23/05/2024,https://entrackr.com/2024/05/prosparity-raises-2-mn-pre-seed-round-from-beenext-others/
https://superkalam.com/,$2.00,Seed,Edtech,Bengaluru,22/05/2024,https://entrackr.com/2024/05/superkalam-raises-2-mn-in-seed-round-led-by-y-combinator-others/
https://konprozgpt.com/,$0.70,Seed,AI,Delhi,20/05/2024,https://entrackr.com/2024/05/gen-ai-startup-konproz-raises-700k/
https://humorstech.com/,$0.24,Pre-Seed,Healthcare,Bengaluru,21/05/2024,https://entrackr.com/2024/05/venture-catalysts-leads-pre-seed-round-in-humors-tech/
https://freshleafteas.in/,$0.12,Seed,E-Commerce - D2C Tea Brand,Ludhiana,23/05/2024,https://entrackr.com/2024/05/premium-tea-brand-freshleaf-raises-seed-round/
