Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.eulermotors.com/en/,$75.00,Series D,EV,Delhi,19/05/2025,https://entrackr.com/news/euler-motors-raises-rs-638-cr-in-series-d-funding-round-9083850
https://www.oxyzo.in/,$62.00,Debt,Fintech,Gurugram,19/05/2025,https://inc42.com/buzz/exclusive-oxyzo-raises-inr-533-cr-debt-from-neo-group-others/
https://vivritiamc.com/,$20.00,,Fintech,Chennai,19/05/2025,https://entrackr.com/snippets/vivriti-asset-management-raises-20-mn-from-development-bank-of-austria-9083487
https://curebay.com/,$19.00,Series B,Healthcare,Bhubaneshwar,20/05/2025,https://entrackr.com/news/curebay-raises-21-mn-in-series-b-round-led-by-bertelsmann-india-9085603
https://mythik.com/,$15.00,Seed,Tech-first entertainment,Mumbai,21/05/2025,https://entrackr.com/snippets/jason-kotharis-new-startup-mythik-raises-15-mn-in-seed-round-9089926
https://www.alt-carbon.com/,$12.00,Seed,Cleantech,Bengaluru,22/05/2025,https://entrackr.com/snippets/deeptech-startup-alt-carbon-raises-12-mn-in-seed-round-9187389
http://www.datasutram.com/,$9.00,Series A,B2B SaaS,Mumbai,22/05/2025,https://entrackr.com/news/data-sutram-raises-9-mn-in-series-a-round-9149674
https://miraggiolife.com/,$6.50,,Fashion - Handbag and Accessories,Delhi,20/05/2025,https://entrackr.com/snippets/miraggio-raises-65-mn-led-by-rpsg-capital-9086396
http://www.tan90thermal.com/,$2.35,Series A,Deeptech - Portable Cold Storage,Chennai,20/05/2025,https://entrackr.com/snippets/nabventures-leads-rs-20-cr-round-in-deep-tech-startup-tan90-9086785
https://www.prometheanenergy.com/,$2.00,Pre-Series A,Cleantech,Mumbai,22/05/2025,https://entrackr.com/snippets/promethean-energy-raises-2-mn-in-pre-series-a-round-9149741
https://www.kskt.in/,$1.30,,Agritech,Gurugram,23/05/2025,https://entrackr.com/snippets/kskt-raises-13-mn-in-equity-and-debt-round-9300612
https://www.misfits.net.in/,$0.58,Seed,Hobby-based community platform,Gurugram,20/05/2025,https://entrackr.com/snippets/misfits-raises-seed-round-co-led-by-info-edge-ventures-and-better-capital-9087722
