Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.oxyzo.in/,$62.00,19/05/2025,Gurugram,Fintech,Debt,https://inc42.com/buzz/exclusive-oxyzo-raises-inr-533-cr-debt-from-neo-group-others/
https://vivritiamc.com/,$20.00,19/05/2025,Chennai,Fintech,,https://entrackr.com/snippets/vivriti-asset-management-raises-20-mn-from-development-bank-of-austria-9083487
https://curebay.com/,$19.00,20/05/2025,Bhubaneshwar,Healthcare,Series B,https://entrackr.com/news/curebay-raises-21-mn-in-series-b-round-led-by-bertelsmann-india-9085603
https://www.misfits.net.in/,$0.58,20/05/2025,Gurugram,Hobby-based community platform,Seed,https://entrackr.com/snippets/misfits-raises-seed-round-co-led-by-info-edge-ventures-and-better-capital-9087722
https://www.prometheanenergy.com/,$2.00,22/05/2025,Mumbai,Cleantech,Pre-Series A,https://entrackr.com/snippets/promethean-energy-raises-2-mn-in-pre-series-a-round-9149741
https://www.eulermotors.com/en/,$75.00,19/05/2025,Delhi,EV,Series D,https://entrackr.com/news/euler-motors-raises-rs-638-cr-in-series-d-funding-round-9083850
https://mythik.com/,$15.00,21/05/2025,Mumbai,Tech-first entertainment,Seed,https://entrackr.com/snippets/jason-kotharis-new-startup-mythik-raises-15-mn-in-seed-round-9089926
https://www.kskt.in/,$1.30,23/05/2025,Gurugram,Agritech,,https://entrackr.com/snippets/kskt-raises-13-mn-in-equity-and-debt-round-9300612
http://www.tan90thermal.com/,$2.35,20/05/2025,Chennai,Deeptech - Portable Cold Storage,Series A,https://entrackr.com/snippets/nabventures-leads-rs-20-cr-round-in-deep-tech-startup-tan90-9086785
http://www.datasutram.com/,$9.00,22/05/2025,Mumbai,B2B SaaS,Series A,https://entrackr.com/news/data-sutram-raises-9-mn-in-series-a-round-9149674
https://miraggiolife.com/,$6.50,20/05/2025,Delhi,Fashion - Handbag and Accessories,,https://entrackr.com/snippets/miraggio-raises-65-mn-led-by-rpsg-capital-9086396
https://www.alt-carbon.com/,$12.00,22/05/2025,Bengaluru,Cleantech,Seed,https://entrackr.com/snippets/deeptech-startup-alt-carbon-raises-12-mn-in-seed-round-9187389
