Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.bluestone.com/,$107.00,Pre-IPO,D2C Jewellery Brand,Bengaluru,22/08/2024,https://economictimes.indiatimes.com/tech/startups/bluestone-closes-rs-900-crore-pre-ipo-round-at-970-million-valuation/articleshow/112688565.cms?from=mdr
https://hangyo.in/,$25.00,,Ice Cream Brand,Mangaluru,22/08/2024,https://entrackr.com/2024/08/ice-cream-brand-hangyo-scoops-up-25-mn-from-faering-capital/
https://even.in/,$20.00,,Healthcare,Bengaluru,21/08/2024,https://entrackr.com/2024/08/exclusive-even-healthcare-raises-20-mn-led-by-khosla-venture/
https://axio.co.in/,$20.00,,Fintech - Lending,Bengaluru,23/08/2024,https://entrackr.com/2024/08/amazon-backed-axio-raises-20-mn-via-right-issue/
https://investorai.in/,$10.00,Series A,Wealthtech,Bengaluru,22/08/2024,https://entrackr.com/2024/08/wealthtech-platform-investorai-raises-rs-80-cr-in-series-a-round/
https://uppercase.co.in/,$9.00,Series B,D2C Luggage Brand,Mumbai,21/08/2024,https://entrackr.com/2024/08/d2c-luggage-brand-uppercase-raises-9-mn-led-by-accel/
https://zofffoods.com/,$4.80,Series A,D2C Spice Brand,Raipur,21/08/2024,https://entrackr.com/2024/08/spice-brand-zoff-raises-rs-40-cr-in-series-a-from-jm-financial/
https://www.llct20.com/,$4.64,,Sports,Delhi,23/08/2024,https://entrackr.com/2024/08/legends-league-cricket-raises-rs-39-cr-from-dubai-based-brickwork/
https://transbnk.co.in/,$4.00,Series A,Fintech,Mumbai,21/08/2024,https://entrackr.com/2024/08/8i-ventures-leads-4-mn-series-a-round-in-transbnk/
https://www.bengaws.com/,$3.00,Pre-Series A,Manufacturing,Delhi,23/08/2024,https://entrackr.com/2024/08/fabrication-bazar-raises-3-mn-in-pre-series-a/
https://www.llumo.ai/,$1.00,Seed,AI,Noida,21/08/2024,https://entrackr.com/2024/08/senseai-ventures-leads-1-mn-round-in-llumo-ai/
https://dopplr.digital/,$0.75,,Virtual Tryon Solution for Clothing,Bengaluru,22/08/2024,https://entrackr.com/2024/08/dopplr-raises-750k-from-cornerstone-ventures/
https://www.revrag.ai/,$0.60,Pre-Seed,B2B Sales Platform,Bengaluru,21/08/2024,https://entrackr.com/2024/08/b2b-sales-startup-revrag-raises-600k-in-pre-seed-funding/
https://acadru.com/,$0.50,Pre-Series A,SaaS - Edtech,Gurugram,23/08/2024,https://entrackr.com/2024/08/saas-startup-acadru-raises-pre-series-a-round/
https://nxtqube.com/,,,Drone Infrastructure,Nasik,21/08/2024,https://yourstory.com/2024/08/startup-news-update-daily-roundup-august-21-2024
