Company,Amount ($M),Series,Sector,HQ,Date,Source
Weaver Services,$170.00,,Fintech - Lending,Mumbai,19/08/2025,https://entrackr.com/snippets/lightspeed-and-premji-invest-lead-170-mn-round-in-weaver-services-9675044
http://www.amnex.com/,$52.90,,IT,Ahmedabad,18/08/2025,https://entrackr.com/snippets/the-wealth-company-invests-rs-460-cr-in-ahmedabad-based-amnex-9672151
https://rforrabbit.com/,$27.00,,D2C Baby Products Brand,Ahmedabad,19/08/2025,https://entrackr.com/news/r-for-rabbit-raises-27-mn-led-by-filter-capital-and-3one4-capital-9676064
https://www.goldisolar.com/,$15.80,,Solar Energy,Surat,18/08/2025,https://entrackr.com/snippets/nikhil-kamath-invests-rs-1375-cr-in-goldi-solar-9673936
https://beyondappliances.in/,$4.00,Series A,Manufacturing - Kitchen Appliances,Bengaluru,19/08/2025,https://entrackr.com/snippets/beyond-appliances-raises-4-mn-in-series-a-round-led-by-fireside-ventures-9674988
https://www.houseofbiryan.com/,$3.66,,Foodtech,Mumbai,19/08/2025,https://entrackr.com/snippets/house-of-biryan-raises-rs-32-cr-from-ms-dhoni-bestvantage-and-others-9675275
http://www.dealbasketmitra.co.in/,$1.60,,FMCG Brand,Gurugram,21/08/2025,https://entrackr.com/snippets/fmcg-startup-mitra-raises-rs-14-cr-in-bridge-round-led-by-bestvantage-9682768
https://famyo.in/,$0.46,Seed,Kids Lifestyle Brand,Bengaluru,19/08/2025,https://entrackr.com/snippets/ian-angel-fund-leads-rs-4-cr-in-seed-round-in-famyo-9675985
https://dobraindia.com/,$0.17,Seed,Food and Beverage Manufacturing,Bengaluru,18/08/2025,https://entrackr.com/snippets/dobra-raises-rs-15-cr-in-seed-round-from-d2c-insider-super-angels-fund-9672950
https://www.mithilafoods.com/,$0.17,Seed,FMCG Brand,Dumka,20/08/2025,https://entrackr.com/snippets/mithila-foods-raises-rs-15-cr-in-seed-round-from-aviral-bhatnagars-ajvc-9679031
https://edgehax.com/,$0.16,Seed,Manufacturing,Bengaluru,21/08/2025,https://entrackr.com/snippets/edge-ai-startup-edgehax-raises-rs-139-cr-in-seed-round-led-by-ipv-9683044
