Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.zeptonow.com/,$350.00,Series G,Quick Commerce,Mumbai,22/11/2024,https://entrackr.com/news/zepto-raises-350-mn-surpasses-135-bn-in-funding-for-2024-7599303
https://entrackr.com/news/insurtech-firm-zopper-raises-25-mn-led-by-elevation-dharana-and-blume-7597743,$153.00,,Health and Fitness,Gurugram,18/11/2024,https://entrackr.com/news/healthkart-raises-153-mn-completes-first-ever-esop-buyback-7589536
https://www.zopper.com/,$25.00,Series D,Insurtech,Noida,21/11/2024,https://entrackr.com/news/insurtech-firm-zopper-raises-25-mn-led-by-elevation-dharana-and-blume-7597743
https://www.onecelldx.com/,$16.00,Series A,Biotech,Pune,21/11/2024,https://entrackr.com/snippets/onecell-diagnostics-raises-16-mn-in-series-a-round-7596956
https://www.blitznow.in/,$6.00,Series A,E-Commerce,Bengaluru,20/11/2024,https://entrackr.com/snippets/blitz-raises-rs-51-cr-in-series-a-round-led-by-ivycap-ventures-7594671
https://www.billionhearts.co/,$4.00,Seed,Consumer Tech,Bengaluru,20/11/2024,https://entrackr.com/snippets/billion-hearts-raises-4-mn-in-new-round-7594400
https://credflow.in/,$3.70,Pre-Series B,Fintech,Delhi,21/11/2024,https://entrackr.com/snippets/sme-focused-fintech-startup-credflow-secures-37-mn-7597214
https://www.proost69.com/,$3.55,Series A,Beer Brand,Gurugram,19/11/2024,https://entrackr.com/snippets/proost-secures-rs-30-cr-in-ongoing-series-a-round-7592097
https://www.doodhvalefarms.com/,$3.00,Series A,Dairy,Delhi,20/11/2024,https://entrackr.com/snippets/dairy-startup-doodhvale-farms-raises-3-mn-in-series-a-round-7595225
https://abyom.com/,$2.50,Seed,Spacetech,Hyderabad,20/11/2024,https://inc42.com/buzz/abyom-bags-2-5-mn-to-build-reusable-rockets-space-infra/#
https://www.justswish.in/,$2.00,Seed,Quick Commerce - Food Delivery,Bengaluru,19/11/2024,https://entrackr.com/snippets/accel-backs-10-minute-food-delivey-startup-swish-7591573
https://biryanibykilo.com/,$2.00,,Cloud Kitchen,Gurugram,18/11/2024,https://inc42.com/buzz/biryani-by-kilo-raises-2-mn-from-pulsar-capital/
https://pelocal.com/,$2.00,Seed,Fintech,Chennai,19/11/2024,https://entrackr.com/snippets/unicorn-india-ventures-leads-2-mn-round-in-pelocal-7592147
https://indicwisdom.com/,$2.00,Pre-Series A,Food Brand,Mumbai,19/11/2024,https://entrackr.com/snippets/food-brand-indic-wisdom-raises-2-mn-in-pre-series-a-round-7592331
https://taqtics.co/,$1.20,Seed,SaaS,Bengaluru,20/11/2024,https://entrackr.com/snippets/saas-startup-taqtics-raises-12-mn-in-seed-round-7594678
https://theranautilus.com/,$1.20,Seed,Nanotech,Bengaluru,19/11/2024,https://entrackr.com/snippets/theranautilus-raises-12-mn-in-seed-round-led-by-pi-ventures-7591681
https://www.startupthamizha.tv/,$0.39,,Media,Chennai,19/11/2024,https://entrackr.com/snippets/baanhem-ventures-raises-rs-33-cr-from-mudhal-partners-7592350
https://www.cadreodr.com/,$0.20,Pre-Series A,Online Dispute Resolution,Bengaluru,19/11/2024,https://entrackr.com/snippets/online-dispute-resolution-platform-cadre-odr-raises-200k-7592364
,,,,,,
