Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.go-yubi.com/,$46.30,Debt + Equity,Fintech,Chennai,18/11/2025,https://entrackr.com/news/yubi-group-raises-rs-411-cr-in-new-round-10784431
https://corporate.agrostar.in/,$30.00,,Agritech,Pune,20/11/2025,https://entrackr.com/news/agrostar-raises-30-mn-led-by-just-climate-10791229
https://www.tractorjunction.com/,$22.00,,Online Marketplace For Tractors,Alwar,19/11/2025,https://entrackr.com/news/tractor-junction-raises-22-mn-led-by-astanor-10787648
https://www.agnikul.in/,$17.00,,Spacetech,Chennai,22/11/2025,https://entrackr.com/news/agnikul-raises-17-mn-at-500-mn-valuation-to-scale-launches-and-infra-10801995
https://pidge.in/,$13.50,Series A,Logistics,Delhi-NCR,19/11/2025,https://inc42.com/buzz/pidge-raises-inr-120-cr-to-deepen-presence-in-tier-ii-iii-cities/
https://www.ultrahuman.com/,$11.20,Debt,Healthtech,Bengaluru,21/11/2025,https://entrackr.com/news/ultrahuman-raises-rs-100-cr-in-debt-from-alteria-capital-10798549
https://www.agraga.com/,$11.20,Pre-Series B,Logistics,Chennai,20/11/2025,https://entrackr.com/news/agraga-raises-rs-100-cr-in-pre-series-b-led-by-bajaj-finserv-group-10791728
https://getstan.app/,$10.50,Series A,Social Gaming,Bengaluru,19/11/2025,https://inc42.com/buzz/stan-closes-series-a-round-at-10-5-mn/
https://www.axirium.aero/,$3.50,Seed,Aerospace Manufacturing,Hyderabad,18/11/2025,https://entrackr.com/snippets/axirium-aerospace-raises-35-mn-in-seed-round-10785238
https://www.stylework.city/,$3.38,Pre-Series B,Coworking - Real Estate,Gurugram,19/11/2025,https://entrackr.com/snippets/stylework-raises-rs-30-cr-in-pre-series-b-led-by-equentis-10790194
https://tribestays.com/,$2.80,Seed,Hospitality,Pune,17/11/2025,https://entrackr.com/snippets/tribe-stays-raises-28-mn-led-by-artha-venture-and-riverwalk-10780904
https://ctrlb.ai/,$2.50,Seed,Unified data platform,Bengaluru,20/11/2025,https://entrackr.com/snippets/ctrlb-raises-25-mn-in-seed-round-led-by-chiratae-ventures-10791356
https://sophrosynetechnologies.com/,$2.00,Seed,Semiconductor,Bengaluru,21/11/2025,https://entrackr.com/snippets/semiconductor-startup-sophrosyne-technologies-raises-2-mn-led-by-bluehillvc-10799138
https://www.thimblerr.com/,$1.40,Bridge Round,Full stack fashion supply-chain,Bengaluru,20/11/2025,https://entrackr.com/snippets/thimblerr-raises-14-mn-led-by-inflection-point-ventures-10791498
https://home-run.co/,$1.01,Seed,Quick Commerce - Construction Materials,Bengaluru,20/11/2025,https://entrackr.com/snippets/homerun-raises-rs-9-cr-in-seed-round-led-by-titan-and-sparrow-capital-10788591
https://hoopr.ai/,$0.45,Pre-Series A,Music Licensing Platform,Mumbai,17/11/2025,https://entrackr.com/snippets/music-licensing-platform-hoopr-raises-funds-in-extended-pre-series-a-round-10782011
https://circlestore.in/,$0.38,Pre-Seed,E-Commerce,Bengaluru,18/11/2025,https://entrackr.com/snippets/circle-raises-rs-34-cr-in-pre-seed-round-led-by-titan-capital-10784497
