Company,Amount ($M),Date,HQ,Sector,Series,Source
https://ctrlb.ai/,$2.50,20/11/2025,Bengaluru,Unified data platform,Seed,https://entrackr.com/snippets/ctrlb-raises-25-mn-in-seed-round-led-by-chiratae-ventures-10791356
https://corporate.agrostar.in/,$30.00,20/11/2025,Pune,Agritech,,https://entrackr.com/news/agrostar-raises-30-mn-led-by-just-climate-10791229
https://circlestore.in/,$0.38,18/11/2025,Bengaluru,E-Commerce,Pre-Seed,https://entrackr.com/snippets/circle-raises-rs-34-cr-in-pre-seed-round-led-by-titan-capital-10784497
https://getstan.app/,$10.50,19/11/2025,Bengaluru,Social Gaming,Series A,https://inc42.com/buzz/stan-closes-series-a-round-at-10-5-mn/
https://www.tractorjunction.com/,$22.00,19/11/2025,Alwar,Online Marketplace For Tractors,,https://entrackr.com/news/tractor-junction-raises-22-mn-led-by-astanor-10787648
https://home-run.co/,$1.01,20/11/2025,Bengaluru,Quick Commerce - Construction Materials,Seed,https://entrackr.com/snippets/homerun-raises-rs-9-cr-in-seed-round-led-by-titan-and-sparrow-capital-10788591
https://pidge.in/,$13.50,19/11/2025,Delhi-NCR,Logistics,Series A,https://inc42.com/buzz/pidge-raises-inr-120-cr-to-deepen-presence-in-tier-ii-iii-cities/
https://www.stylework.city/,$3.38,19/11/2025,Gurugram,Coworking - Real Estate,Pre-Series B,https://entrackr.com/snippets/stylework-raises-rs-30-cr-in-pre-series-b-led-by-equentis-10790194
https://www.axirium.aero/,$3.50,18/11/2025,Hyderabad,Aerospace Manufacturing,Seed,https://entrackr.com/snippets/axirium-aerospace-raises-35-mn-in-seed-round-10785238
https://tribestays.com/,$2.80,17/11/2025,Pune,Hospitality,Seed,https://entrackr.com/snippets/tribe-stays-raises-28-mn-led-by-artha-venture-and-riverwalk-10780904
https://www.go-yubi.com/,$46.30,18/11/2025,Chennai,Fintech,Debt + Equity,https://entrackr.com/news/yubi-group-raises-rs-411-cr-in-new-round-10784431
https://hoopr.ai/,$0.45,17/11/2025,Mumbai,Music Licensing Platform,Pre-Series A,https://entrackr.com/snippets/music-licensing-platform-hoopr-raises-funds-in-extended-pre-series-a-round-10782011
https://www.agnikul.in/,$17.00,22/11/2025,Chennai,Spacetech,,https://entrackr.com/news/agnikul-raises-17-mn-at-500-mn-valuation-to-scale-launches-and-infra-10801995
https://sophrosynetechnologies.com/,$2.00,21/11/2025,Bengaluru,Semiconductor,Seed,https://entrackr.com/snippets/semiconductor-startup-sophrosyne-technologies-raises-2-mn-led-by-bluehillvc-10799138
https://www.thimblerr.com/,$1.40,20/11/2025,Bengaluru,Full stack fashion supply-chain,Bridge Round,https://entrackr.com/snippets/thimblerr-raises-14-mn-led-by-inflection-point-ventures-10791498
https://www.agraga.com/,$11.20,20/11/2025,Chennai,Logistics,Pre-Series B,https://entrackr.com/news/agraga-raises-rs-100-cr-in-pre-series-b-led-by-bajaj-finserv-group-10791728
https://www.ultrahuman.com/,$11.20,21/11/2025,Bengaluru,Healthtech,Debt,https://entrackr.com/news/ultrahuman-raises-rs-100-cr-in-debt-from-alteria-capital-10798549
