Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.rentomojo.com/,$25.00,Series D,E-Commerce - Furniture Rental,Bengaluru,21/02/2024,https://entrackr.com/2024/02/rentomojo-raises-25-mn-led-by-edelweiss/
https://nicicecreams.com/,$20.00,,Ice Cream Brand,Pune,21/02/2024,https://entrackr.com/2024/02/walko-foods-nic-raises-20-mn-led-by-jungle-ventures/
https://www.yulu.bike/,$19.25,Series B,EV,Bengaluru,23/02/2024,https://entrackr.com/2024/02/yulu-raises-19-25-mn-from-magna-bajaj-auto/
https://www.vidyuttech.com/,$10.00,Series A,Fintech - Lending for EVs,Bengaluru,20/02/2024,https://entrackr.com/2024/02/vidyut-raises-10-mn-in-series-a-led-by-3one4-capital/
https://samunnati.com/,$9.00,Debt,Fintech - Agriculture Financing,Chennai,21/02/2024,https://inc42.com/buzz/exclusive-samunnati-raises-9-mn-debt-from-impact-investment-exchange/
https://www.varaha.earth/,$8.70,Series A,Climatetech,Gurugram,22/02/2024,https://economictimes.indiatimes.com/tech/funding/climate-tech-startup-varaha-raises-8-7-million-in-funding-round-led-by-rtp-global/articleshow/107892126.cms
https://pureev.in/,$8.00,,EV,Bengaluru,19/02/2024,https://entrackr.com/2024/02/pure-ev-raises-8-mn-led-by-bennett-coleman/
https://www.auxilo.com/,$6.00,Debt,Fintech - Lending,Mumbai,23/02/2024,https://entrackr.com/2024/02/exclusive-education-focused-nbfc-auxilo-secures-6-mn-debt/
https://ghostkitchensindia.com/,$5.00,Series A,Foodtech,Mumbai,22/02/2024,https://entrackr.com/2024/02/ghost-kitchens-india-raises-5-mn-in-series-a/
https://www.railyatri.in/,$3.44,Series C,Train Ticketing Platform,Noida,19/02/2024,https://entrackr.com/2024/02/exclusive-railyatri-tops-up-series-c-round-with-over-3-mn-funding/
https://autovrse.in/,$2.00,Seed,AR/VR,Bengaluru,20/02/2024,https://entrackr.com/2024/02/autovrse-raises-2-mn-led-by-lumikai/
https://www.virohan.com/,$1.80,Pre-Series B,Edtech - Offering healthcare courses,Gurugram,21/02/2024,https://entrackr.com/2024/02/exclusive-blume-ventures-leads-pre-series-b-funding-in-virohan/
https://samarth.community/,$1.45,,Healthcare - Eldercare,Delhi,21/02/2024,https://entrackr.com/2024/02/elder-care-startup-samarth-life-raises-new-round-led-by-aroa-venture/
https://www.starbuzz.ai/,$0.50,Seed,Influencer Marketing,Hyderabad,22/02/2024,https://entrackr.com/2024/02/t-hub-incubated-starbuzz-ai-secures-500k-in-seed-round/
https://indicwisdom.com/,$0.48,Pre-Series A,Agritech - E-Commerce,Mumbai,22/02/2024,https://entrackr.com/2024/02/agri-produce-startup-indic-wisdom-raises-pre-series-a-round/
https://yourbasil.com/,$0.43,Seed,E-Commerce - D2C Houseware Brand,Bengaluru,19/02/2024,https://entrackr.com/2024/02/d2c-brand-basil-raises-rs-3-6-cr-in-seed-round/
https://kanlet.ai/,$0.40,Pre-Seed,AI - Sales Automation,Pune,19/02/2024,https://entrackr.com/2024/02/knalet-raises-400k-in-pre-seed-round/
https://refitglobal.com/,$0.24,,E-Commerce - Refurbished smartphones,Delhi,21/02/2024,https://entrackr.com/2024/02/refit-raises-rs-2-cr-at-rs-200-cr-valuation-on-shark-tank-season-3/
https://www.efeed.in/home,$0.12,Seed,Biotech - Animal Nutrition,Pune,21/02/2024,https://entrackr.com/2024/02/animal-nutrition-brand-efeed-secures-funding-from-klub/
https://oopar.club/,$0.06,Pre-Seed,Social Network,Bengaluru,21/02/2024,https://entrackr.com/2024/02/social-networking-platform-oopar-club-raises-funds-from-pedalstart/
https://flytant.com/,,Seed,Influencer Marketing,Noida,23/02/2024,https://entrackr.com/2024/02/influencer-marketplace-flytant-raises-seed-round/
