Company,Amount ($M),Series,Sector,HQ,Date,Source
https://udaan.com/,$75.00,Series G,B2B E-Commerce,Bengaluru,17/02/2025,https://inc42.com/buzz/udaan-bags-75-mn-from-mg-prudential-at-flat-valuation/
https://www.spyne.ai/,$16.00,Series A,GenAI,Gurugram,18/02/2025,https://entrackr.com/news/spyne-raises-16-mn-in-series-a-round-led-by-vertex-ventures-8731156
https://waterfieldadvisors.com/,$14.60,,Wealth Advisory,"Mumbai ",19/02/2025,https://entrackr.com/exclusive/exclusive-waterfield-advisors-raises-rs-123-cr-at-rs-723-cr-valuation-8735322
https://www.dogseechew.in/,$8.00,Series B,Pet Care Brand,Bengaluru,20/02/2025,https://inc42.com/buzz/pet-food-brand-dogsee-chew-raises-8-mn-to-scale-global-operations/
https://thehouseofrare.com/,$6.00,,Fashion,Bengaluru,17/02/2025,https://entrackr.com/exclusive/exclusive-a91-partners-backs-rare-rabbit-in-new-round-8728019
https://www.creditfair.in/,$5.00,Debt,NBFC - Lending,Mumbai,19/02/2025,https://inc42.com/buzz/credit-fair-raises-5-mn-in-debt-from-symbiotics-investments/
https://probus.io/,$5.00,Series A,IoT,Delhi,19/02/2025,https://entrackr.com/snippets/probus-raises-5-mn-led-by-unicorn-india-ventures-8734834
https://www.ikonz.club/,$5.00,Pre-Series A,Gen AI,Hyderabad,17/02/2025,https://entrackr.com/snippets/ikonz-studios-raises-5-mn-in-pre-series-a-round-8729618
https://swishclub.in/,$4.50,Pre-Series A,Device as a Service,Bengaluru,18/02/2025,https://entrackr.com/snippets/daas-platform-swish-club-raises-45-mn-in-pre-series-a-8730922
https://www.curefoods.in/,$4.40,,Cloud Kitchen,Bengaluru,17/02/2025,https://entrackr.com/exclusive/exclusive-curefoods-gets-landmark-group-backing-expands-esop-pool-8728791
https://eatnoto.com/,$1.75,,Ice Cream Brand,Mumbai,20/02/2025,https://entrackr.com/snippets/john-abraham-backed-noto-ice-cream-raises-rs-15-cr-8739208
https://www.dynolt.com/,$1.70,Seed,Deeptech,Bengaluru,18/02/2025,https://entrackr.com/snippets/transition-vc-leads-17-mn-round-in-dynolt-technologies-8730916
https://youcarelifestyle.com/,$1.00,,E-Commerce - Independent Verification Platform,Mumbai,17/02/2025,https://entrackr.com/snippets/you-care-lifestyle-raises-1-mn-in-pre-seed-round-8728380
https://www.healthfab.in/,$1.00,Pre-Series A,"Women Health and Wellness ",Bengaluru,19/02/2025,https://entrackr.com/snippets/healthfab-raises-1-mn-in-pre-series-a-round-8735177
