Company,Amount ($M),Series,Sector,HQ,Date,Source
https://infra.market/,$50.00,,Construction Tech,Thane,28/05/2024,https://entrackr.com/2024/05/infra-market-raises-50-mn-from-mars-unicorn-fund-2/
https://www.atherenergy.com/,$34.50,Equity + Debt,EV,Bengaluru,31/05/2024,https://entrackr.com/2024/05/exclusive-ather-energy-raises-34-5-mn-co-founders-invest-over-10-mn/
https://www.eulermotors.com/en,$24.00,Series C,EV,New Delhi,29/05/2024,https://entrackr.com/2024/05/euler-motors-raises-24-mn-led-by-piramal-alternatives/
https://www.technosport.in/,$21.00,,E-Commerce - Sportswear,TIruppur,31/05/2024,https://entrackr.com/2024/05/performance-wear-brand-technosport-raises-21-mn-from-a91-partners/
https://www.libas.in/,$18.00,,E-Commerce - Fashion,New Delhi,30/05/2024,https://entrackr.com/2024/05/libas-raises-18-mn-in-maiden-external-round-from-icici-ventures-fund/
https://zypp.app/,$14.00,Series C,EV,Bengaluru,27/05/2024,https://entrackr.com/2024/05/zypp-electric-secures-14-mn-from-eneos/
https://www.rebelfoods.com/,$13.20,Debt,E-Commerce - Food delivery,Mumbai,30/05/2024,https://entrackr.com/2024/05/exclusive-rebel-foods-raises-13-mn-debt/
https://countrydelight.in/,$9.00,Equity + Debt,Dairy Brand,Gurugram,31/05/2024,https://entrackr.com/2024/05/exclusive-country-delight-raises-9-mn-through-debt-and-equity/
https://www.faballey.com/,$6.00,Debt + Equity,E-Commerce - Fashion,Delhi,27/05/2024,https://entrackr.com/2024/05/indya-and-faballeys-parent-high-street-essentials-raises-6-mn/
https://www.turno.club/,$5.50,,EV Marketplace,Bengaluru,27/05/2024,https://entrackr.com/2024/05/exclusive-ev-startup-turno-raises-5-5-mn-led-by-bii/
https://www.vegapay.tech/,$5.50,,Fintech,Gurugram,30/05/2024,https://economictimes.indiatimes.com/tech/startups/b2b-fintech-startup-vegapay-raises-5-5-million-from-elevation-capital/articleshow/110541182.cms
https://difacto.com/,$4.80,,Robotics,Bengaluru,27/05/2024,https://entrackr.com/2024/05/robotics-startup-difacto-raises-4-8-mn/
https://www.flamapp.ai/,$4.50,Pre-Series A,AI Mixed Reality,Bengaluru,28/05/2024,https://entrackr.com/2024/05/flam-bags-rs-38-cr-in-pre-series-a-round/
https://www.wealthy.in/,$4.50,,Fintech - Wealth Management,Bengaluru,30/05/2024,https://entrackr.com/2024/05/exclusive-wealthy-raises-fresh-capital-alpha-wave/
https://fyllo.in/,$4.00,,Agritech,Bengaluru,30/05/2024,https://entrackr.com/2024/05/fyllo-raises-4-mn-led-by-india-quotient-and-sidbi-ventures/
https://www.coversure.in/,$4.00,Pre-Series A,Insurtech,Mumbai,27/05/2024,https://entrackr.com/2024/05/insurtech-startup-coversure-raises-4-mn-in-pre-series-a-round/
https://www.farmart.co/,$2.80,,SaaS- Agritech,Gurugram,29/05/2024,https://entrackr.com/2024/05/farmart-raises-funds-from-swiss-based-responsability-investments/
https://www.maxvoltenergy.com/,$1.50,Seed,EV Battery Maker,Noida,28/05/2024,https://www.thehindubusinessline.com/companies/maxvolt-energy-secures-15-million-from-angel-investors/article68224311.ece
https://ablecredit.com/,$1.25,Seed,AI Fintech - Credit Underwriting,Bengaluru,28/05/2024,https://entrackr.com/2024/05/ablecredit-raises-seed-round-led-by-merak-ventures/
https://gravity.ind.in/,$1.00,Pre-Series A,Banking Tech,Mumbai,28/05/2024,https://entrackr.com/2024/05/banking-tech-platform-gravity-raises-1-mn-led-by-kettleborough-vc/
https://circlepe.com/,$1.00,Pre-Seed,Fintech,Gurugram,27/05/2024,https://entrackr.com/2024/05/circlepe-raises-close-to-1-mn-in-pre-seed-round/
https://www.logistiex.com/,$0.25,Bridge Round,E-Commerce,Bengaluru,30/05/2024,https://entrackr.com/2024/05/logistiex-raises-250k-in-bridge-round/
https://hyperleap.ai/,$0.23,Pre-Seed,Gen AI,Hyderabad,27/05/2024,https://entrackr.com/2024/05/hyderabad-based-hyperleap-ai-launches-generative-ai-platform-post-225k-pre-seed-round/
