Company,Amount ($M),Date,HQ,Sector,Series,Source
https://circlepe.com/,$1.00,27/05/2024,Gurugram,Fintech,Pre-Seed,https://entrackr.com/2024/05/circlepe-raises-close-to-1-mn-in-pre-seed-round/
https://www.coversure.in/,$4.00,27/05/2024,Mumbai,Insurtech,Pre-Series A,https://entrackr.com/2024/05/insurtech-startup-coversure-raises-4-mn-in-pre-series-a-round/
https://www.faballey.com/,$6.00,27/05/2024,Delhi,E-Commerce - Fashion,Debt + Equity,https://entrackr.com/2024/05/indya-and-faballeys-parent-high-street-essentials-raises-6-mn/
https://countrydelight.in/,$9.00,31/05/2024,Gurugram,Dairy Brand,Equity + Debt,https://entrackr.com/2024/05/exclusive-country-delight-raises-9-mn-through-debt-and-equity/
https://www.farmart.co/,$2.80,29/05/2024,Gurugram,SaaS- Agritech,,https://entrackr.com/2024/05/farmart-raises-funds-from-swiss-based-responsability-investments/
https://zypp.app/,$14.00,27/05/2024,Bengaluru,EV,Series C,https://entrackr.com/2024/05/zypp-electric-secures-14-mn-from-eneos/
https://www.maxvoltenergy.com/,$1.50,28/05/2024,Noida,EV Battery Maker,Seed,https://www.thehindubusinessline.com/companies/maxvolt-energy-secures-15-million-from-angel-investors/article68224311.ece
https://difacto.com/,$4.80,27/05/2024,Bengaluru,Robotics,,https://entrackr.com/2024/05/robotics-startup-difacto-raises-4-8-mn/
https://ablecredit.com/,$1.25,28/05/2024,Bengaluru,AI Fintech - Credit Underwriting,Seed,https://entrackr.com/2024/05/ablecredit-raises-seed-round-led-by-merak-ventures/
https://www.eulermotors.com/en,$24.00,29/05/2024,New Delhi,EV,Series C,https://entrackr.com/2024/05/euler-motors-raises-24-mn-led-by-piramal-alternatives/
https://www.atherenergy.com/,$34.50,31/05/2024,Bengaluru,EV,Equity + Debt,https://entrackr.com/2024/05/exclusive-ather-energy-raises-34-5-mn-co-founders-invest-over-10-mn/
https://gravity.ind.in/,$1.00,28/05/2024,Mumbai,Banking Tech,Pre-Series A,https://entrackr.com/2024/05/banking-tech-platform-gravity-raises-1-mn-led-by-kettleborough-vc/
https://www.libas.in/,$18.00,30/05/2024,New Delhi,E-Commerce - Fashion,,https://entrackr.com/2024/05/libas-raises-18-mn-in-maiden-external-round-from-icici-ventures-fund/
https://www.rebelfoods.com/,$13.20,30/05/2024,Mumbai,E-Commerce - Food delivery,Debt,https://entrackr.com/2024/05/exclusive-rebel-foods-raises-13-mn-debt/
https://infra.market/,$50.00,28/05/2024,Thane,Construction Tech,,https://entrackr.com/2024/05/infra-market-raises-50-mn-from-mars-unicorn-fund-2/
https://fyllo.in/,$4.00,30/05/2024,Bengaluru,Agritech,,https://entrackr.com/2024/05/fyllo-raises-4-mn-led-by-india-quotient-and-sidbi-ventures/
https://www.logistiex.com/,$0.25,30/05/2024,Bengaluru,E-Commerce,Bridge Round,https://entrackr.com/2024/05/logistiex-raises-250k-in-bridge-round/
https://www.technosport.in/,$21.00,31/05/2024,TIruppur,E-Commerce - Sportswear,,https://entrackr.com/2024/05/performance-wear-brand-technosport-raises-21-mn-from-a91-partners/
https://www.turno.club/,$5.50,27/05/2024,Bengaluru,EV Marketplace,,https://entrackr.com/2024/05/exclusive-ev-startup-turno-raises-5-5-mn-led-by-bii/
https://www.wealthy.in/,$4.50,30/05/2024,Bengaluru,Fintech - Wealth Management,,https://entrackr.com/2024/05/exclusive-wealthy-raises-fresh-capital-alpha-wave/
https://www.vegapay.tech/,$5.50,30/05/2024,Gurugram,Fintech,,https://economictimes.indiatimes.com/tech/startups/b2b-fintech-startup-vegapay-raises-5-5-million-from-elevation-capital/articleshow/110541182.cms
https://hyperleap.ai/,$0.23,27/05/2024,Hyderabad,Gen AI,Pre-Seed,https://entrackr.com/2024/05/hyderabad-based-hyperleap-ai-launches-generative-ai-platform-post-225k-pre-seed-round/
https://www.flamapp.ai/,$4.50,28/05/2024,Bengaluru,AI Mixed Reality,Pre-Series A,https://entrackr.com/2024/05/flam-bags-rs-38-cr-in-pre-series-a-round/
