Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.zeptonow.com/,$340.00,Series G,Quick Commerce,Mumbai,30/08/2024,https://economictimes.indiatimes.com/tech/funding/zepto-bags-340-million-more-from-general-catalyst-mars-growth-and-epiq-capital/articleshow/112901416.cms
https://bluetokaicoffee.com/,$35.00,Series C,Coffee Brand,Gurugram,31/08/2024,https://entrackr.com/2024/08/blue-tokai-raises-35-mn-in-series-c-led-by-verlinvest/
https://www.go-yubi.com/,$30.00,,Fintech,Chennai,26/08/2024,https://entrackr.com/2024/08/yubi-founder-gaurav-kumar-invests-rs-250-cr-in-the-company/
https://agrim.app/,$17.30,Series B,Agritech,Gurugram,30/08/2024,https://entrackr.com/2024/08/agritech-startup-agrim-raises-17-3-mn-in-series-b-round/
https://servify.com/in/,$10.00,Series D,Post Sales Service,Mumbai,28/08/2024,https://entrackr.com/2024/08/exclusive-servify-raises-10-mn-in-debt-and-equity/
https://discoverpilgrim.com/,$9.00,Series B,D2C Personal Care Brand,Mumbai,29/08/2024,https://entrackr.com/2024/08/exclusive-pilgrim-raises-9-mn-with-3x-valuation-surge/
https://houseeazy.com/,$7.00,Series A,Proptech,Noida,26/08/2024,https://entrackr.com/2024/08/exclusive-proptech-startup-houseeazy-raises-4-mn-in-series-a/
https://convin.ai/,$6.50,Series A,Conversational AI,Bengaluru,27/08/2024,https://entrackr.com/2024/08/convin-raises-6-5-mn-in-series-a-round-led-by-india-quotient/
https://www.cleanelectric.in/,$6.00,Series A,EV,Pune,30/08/2024,https://entrackr.com/2024/08/exclusive-info-edge-pi-ventures-lead-clean-electrics-series-a-round/
https://finarkein.com/,$4.75,Pre-Series A,Data Analytics,Pune,27/08/2024,https://economictimes.indiatimes.com/tech/funding/finarkein-analytics-raises-4-75-million-in-funding-from-nexus-venture-partners-others/articleshow/112835016.cms
https://kreedology.com/,$4.00,Series A,Edtech,Bengaluru,27/08/2024,https://entrackr.com/2024/08/kreedo-raises-4-mn-in-series-a-funding/
https://miko.ai/,$2.50,,Robotics,Mumbai,29/08/2024,https://entrackr.com/2024/08/exclusive-miko-raises-fresh-capital-at-over-200-mn-valuation/
https://99pancakes.in/,$2.40,Series A,QSR,Mumbai,27/08/2024,https://entrackr.com/2024/08/qsr-chain-99-pancakes-raises-rs-20-cr/
https://www.plutos.one/,$2.00,Seed,Fintech,Delhi,27/08/2024,https://entrackr.com/2024/08/plutos-one-raises-2-mn-in-seed-round-led-by-startupxseed/
https://sunfox.in/,$1.79,Pre-Series A,Healthtech,Dehradun,28/08/2024,https://entrackr.com/2024/08/sunfox-technologies-raises-rs-15-cr-led-by-venture-catalysts/
https://mylaiqa.com/,$1.79,Seed,Feminine Hygiene,Gurugram,28/08/2024,https://entrackr.com/2024/08/laiqa-raises-rs-15-cr-seed-round-from-ivycap-ventures/
https://www.justwords.in/,$1.70,Seed,Marketing,Gurugram,27/08/2024,https://yourstory.com/2024/08/startup-news-updates-daily-roundup-august-27-2024
https://deepmatrix.io/,$1.60,Pre-Series A,Deeptech,Bengaluru,27/08/2024,https://entrackr.com/2024/08/deeptech-startup-deepmatrix-raises-1-6-mn-in-pre-series-a-round/
https://cambrianbioworks.com/,$1.45,Seed,Biotech,Bengaluru,28/08/2024,https://entrackr.com/2024/08/cambrian-bioworks-raises-1-45-mn-in-seed-round/
https://www.profintech.in/,$1.40,Seed,Fintech,Hyderabad,28/08/2024,https://entrackr.com/2024/08/profintech-raises-1-4-mn-in-a-seed-round/
https://www.insurancepadosi.in/,$0.50,Pre-Seed,Insurance,Jodhpur,27/08/2024,https://entrackr.com/2024/08/antler-leads-500k-round-in-insurancepadosi/
https://www.odaclass.com/,$0.50,Series B,Edtech,Bengaluru,29/08/2024,https://entrackr.com/2024/08/edtech-startup-oda-class-raises-500k-in-series-b-round/
https://www.medront.com/,$0.13,Pre-Seed,Data Storage,Mumbai,29/08/2024,https://entrackr.com/2024/08/medront-raises-pre-seed-round-led-by-ipv/
,,,,,,
