Company,Amount ($M),Date,HQ,Sector,Series,Source
https://99pancakes.in/,$2.40,27/08/2024,Mumbai,QSR,Series A,https://entrackr.com/2024/08/qsr-chain-99-pancakes-raises-rs-20-cr/
https://discoverpilgrim.com/,$9.00,29/08/2024,Mumbai,D2C Personal Care Brand,Series B,https://entrackr.com/2024/08/exclusive-pilgrim-raises-9-mn-with-3x-valuation-surge/
https://convin.ai/,$6.50,27/08/2024,Bengaluru,Conversational AI,Series A,https://entrackr.com/2024/08/convin-raises-6-5-mn-in-series-a-round-led-by-india-quotient/
https://kreedology.com/,$4.00,27/08/2024,Bengaluru,Edtech,Series A,https://entrackr.com/2024/08/kreedo-raises-4-mn-in-series-a-funding/
https://www.profintech.in/,$1.40,28/08/2024,Hyderabad,Fintech,Seed,https://entrackr.com/2024/08/profintech-raises-1-4-mn-in-a-seed-round/
https://www.cleanelectric.in/,$6.00,30/08/2024,Pune,EV,Series A,https://entrackr.com/2024/08/exclusive-info-edge-pi-ventures-lead-clean-electrics-series-a-round/
https://servify.com/in/,$10.00,28/08/2024,Mumbai,Post Sales Service,Series D,https://entrackr.com/2024/08/exclusive-servify-raises-10-mn-in-debt-and-equity/
https://www.odaclass.com/,$0.50,29/08/2024,Bengaluru,Edtech,Series B,https://entrackr.com/2024/08/edtech-startup-oda-class-raises-500k-in-series-b-round/
https://www.plutos.one/,$2.00,27/08/2024,Delhi,Fintech,Seed,https://entrackr.com/2024/08/plutos-one-raises-2-mn-in-seed-round-led-by-startupxseed/
https://agrim.app/,$17.30,30/08/2024,Gurugram,Agritech,Series B,https://entrackr.com/2024/08/agritech-startup-agrim-raises-17-3-mn-in-series-b-round/
https://sunfox.in/,$1.79,28/08/2024,Dehradun,Healthtech,Pre-Series A,https://entrackr.com/2024/08/sunfox-technologies-raises-rs-15-cr-led-by-venture-catalysts/
https://www.medront.com/,$0.13,29/08/2024,Mumbai,Data Storage,Pre-Seed,https://entrackr.com/2024/08/medront-raises-pre-seed-round-led-by-ipv/
https://www.insurancepadosi.in/,$0.50,27/08/2024,Jodhpur,Insurance,Pre-Seed,https://entrackr.com/2024/08/antler-leads-500k-round-in-insurancepadosi/
https://finarkein.com/,$4.75,27/08/2024,Pune,Data Analytics,Pre-Series A,https://economictimes.indiatimes.com/tech/funding/finarkein-analytics-raises-4-75-million-in-funding-from-nexus-venture-partners-others/articleshow/112835016.cms
https://deepmatrix.io/,$1.60,27/08/2024,Bengaluru,Deeptech,Pre-Series A,https://entrackr.com/2024/08/deeptech-startup-deepmatrix-raises-1-6-mn-in-pre-series-a-round/
https://houseeazy.com/,$7.00,26/08/2024,Noida,Proptech,Series A,https://entrackr.com/2024/08/exclusive-proptech-startup-houseeazy-raises-4-mn-in-series-a/
,,,,,,
https://miko.ai/,$2.50,29/08/2024,Mumbai,Robotics,,https://entrackr.com/2024/08/exclusive-miko-raises-fresh-capital-at-over-200-mn-valuation/
https://bluetokaicoffee.com/,$35.00,31/08/2024,Gurugram,Coffee Brand,Series C,https://entrackr.com/2024/08/blue-tokai-raises-35-mn-in-series-c-led-by-verlinvest/
https://www.justwords.in/,$1.70,27/08/2024,Gurugram,Marketing,Seed,https://yourstory.com/2024/08/startup-news-updates-daily-roundup-august-27-2024
https://www.go-yubi.com/,$30.00,26/08/2024,Chennai,Fintech,,https://entrackr.com/2024/08/yubi-founder-gaurav-kumar-invests-rs-250-cr-in-the-company/
https://www.zeptonow.com/,$340.00,30/08/2024,Mumbai,Quick Commerce,Series G,https://economictimes.indiatimes.com/tech/funding/zepto-bags-340-million-more-from-general-catalyst-mars-growth-and-epiq-capital/articleshow/112901416.cms
https://mylaiqa.com/,$1.79,28/08/2024,Gurugram,Feminine Hygiene,Seed,https://entrackr.com/2024/08/laiqa-raises-rs-15-cr-seed-round-from-ivycap-ventures/
https://cambrianbioworks.com/,$1.45,28/08/2024,Bengaluru,Biotech,Seed,https://entrackr.com/2024/08/cambrian-bioworks-raises-1-45-mn-in-seed-round/
