Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.getonecard.app/,$28.50,,Fintech - Credit Card,Pune,25/11/2024,https://entrackr.com/exclusive/exclusive-onecard-to-secure-285-mn-in-new-funding-round-7606257
https://smtoysctc.com/,$13.22,Series A,Toy Manufacturer,Indore,27/11/2024,https://entrackr.com/snippets/candytoy-corporate-raises-rs-110-cr-in-series-a-round-7612046
https://www.alt-mobility.com/,$10.00,Series A,EV Leasing,Delhi,27/11/2024,https://inc42.com/buzz/ev-leasing-startup-alt-mobility-bags-10-mn-in-series-a-round/
https://shopdeck.com/,$8.00,Seed,E-Commerce,Bengaluru,27/11/2024,https://entrackr.com/snippets/shopdeck-raises-8-mn-led-by-bessemer-venture-7612018
https://masterchow.in/,$6.50,Series A,D2C Ready to Cook Food Brand,Delhi,30/11/2024,https://inc42.com/buzz/masterchow-raises-6-5-mn-from-tanglin-ventures-peak-xvs-surge/
https://elchemy.com/,$5.60,Series A,Chemical Manufacturing,Mumbai,25/11/2024,https://entrackr.com/snippets/prime-venture-leads-56-mn-round-in-elchemy-7606777
https://www.neogrowth.in/,$4.97,Debt,Fintech - MSME Lending,Mumbai,26/11/2024,https://entrackr.com/exclusive/exclusive-neogrowth-raises-debt-from-uti-international-7610573
https://allthingsbaby.com/,$3.60,Series A,D2C Baby Products Brand,Mumbai,26/11/2024,https://inc42.com/buzz/d2c-brand-all-things-baby-bags-inr-30-cr-funding-to-expand-its-omnichannel-play/
https://beyondappliances.in/,$2.00,Seed,Electronics - Kitchen Appliances Manufacturing,Bengaluru,25/11/2024,https://entrackr.com/snippets/beyond-appliances-raises-2-mn-in-seed-round-7606481
https://parkmate.in/,$1.20,,Car Parking Solutions Provider,Noida,27/11/2024,https://entrackr.com/snippets/parkmate-raises-12-mn-led-by-cactus-partners-7612633
https://www.ukhi.org/,$1.20,Pre-Seed,Biomaterials,Delhi,25/11/2024,https://entrackr.com/snippets/biomaterials-startup-ukhi-raises-12-mn-in-pre-seed-round-7607031
https://ladieswholead.in/,$1.00,Pre-Series A,Membership community for women,Gurugram,28/11/2024,https://entrackr.com/snippets/ladies-who-lead-raises-1-mn-led-by-nithin-kamaths-rainmatter-7613099
https://www.homversity.com/,$1.00,Pre-Series A,Student Housing,Ahmedabad,28/11/2024,https://entrackr.com/snippets/homversity-raises-1-mn-from-shur-up-ipv-and-others-7614760
https://truediamond.in/,$1.00,Seed,Lab Grown Diamond Jewelry,Mumbai,26/11/2024,https://entrackr.com/snippets/true-diamond-raises-1-mn-in-seed-funding-round-7609783
https://ikinglobal.com/,$1.00,Pre-Series A,Smart Lock,Kochi,26/11/2024,https://entrackr.com/snippets/iot-smart-lock-ikin-global-raises-1-mn-in-pre-series-a-round-7609528
https://www.althion.in/,$0.43,Pre-Series A,Healthcare,Hyderabad,28/11/2024,https://entrackr.com/snippets/water-tech-startup-althion-raises-pre-series-a-round-7615220
https://www.bitsave.club/,,Pre-Series A,Crypto,Bengaluru,26/11/2024,https://entrackr.com/snippets/crypto-investment-startup-bitsave-raises-pre-series-a-round-7609466
