Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.neogrowth.in/,$4.97,26/11/2024,Mumbai,Fintech - MSME Lending,Debt,https://entrackr.com/exclusive/exclusive-neogrowth-raises-debt-from-uti-international-7610573
https://www.bitsave.club/,,26/11/2024,Bengaluru,Crypto,Pre-Series A,https://entrackr.com/snippets/crypto-investment-startup-bitsave-raises-pre-series-a-round-7609466
https://www.ukhi.org/,$1.20,25/11/2024,Delhi,Biomaterials,Pre-Seed,https://entrackr.com/snippets/biomaterials-startup-ukhi-raises-12-mn-in-pre-seed-round-7607031
https://ikinglobal.com/,$1.00,26/11/2024,Kochi,Smart Lock,Pre-Series A,https://entrackr.com/snippets/iot-smart-lock-ikin-global-raises-1-mn-in-pre-series-a-round-7609528
https://shopdeck.com/,$8.00,27/11/2024,Bengaluru,E-Commerce,Seed,https://entrackr.com/snippets/shopdeck-raises-8-mn-led-by-bessemer-venture-7612018
https://www.alt-mobility.com/,$10.00,27/11/2024,Delhi,EV Leasing,Series A,https://inc42.com/buzz/ev-leasing-startup-alt-mobility-bags-10-mn-in-series-a-round/
https://allthingsbaby.com/,$3.60,26/11/2024,Mumbai,D2C Baby Products Brand,Series A,https://inc42.com/buzz/d2c-brand-all-things-baby-bags-inr-30-cr-funding-to-expand-its-omnichannel-play/
https://smtoysctc.com/,$13.22,27/11/2024,Indore,Toy Manufacturer,Series A,https://entrackr.com/snippets/candytoy-corporate-raises-rs-110-cr-in-series-a-round-7612046
https://www.homversity.com/,$1.00,28/11/2024,Ahmedabad,Student Housing,Pre-Series A,https://entrackr.com/snippets/homversity-raises-1-mn-from-shur-up-ipv-and-others-7614760
https://www.althion.in/,$0.43,28/11/2024,Hyderabad,Healthcare,Pre-Series A,https://entrackr.com/snippets/water-tech-startup-althion-raises-pre-series-a-round-7615220
https://truediamond.in/,$1.00,26/11/2024,Mumbai,Lab Grown Diamond Jewelry,Seed,https://entrackr.com/snippets/true-diamond-raises-1-mn-in-seed-funding-round-7609783
https://beyondappliances.in/,$2.00,25/11/2024,Bengaluru,Electronics - Kitchen Appliances Manufacturing,Seed,https://entrackr.com/snippets/beyond-appliances-raises-2-mn-in-seed-round-7606481
https://www.getonecard.app/,$28.50,25/11/2024,Pune,Fintech - Credit Card,,https://entrackr.com/exclusive/exclusive-onecard-to-secure-285-mn-in-new-funding-round-7606257
https://elchemy.com/,$5.60,25/11/2024,Mumbai,Chemical Manufacturing,Series A,https://entrackr.com/snippets/prime-venture-leads-56-mn-round-in-elchemy-7606777
https://masterchow.in/,$6.50,30/11/2024,Delhi,D2C Ready to Cook Food Brand,Series A,https://inc42.com/buzz/masterchow-raises-6-5-mn-from-tanglin-ventures-peak-xvs-surge/
https://ladieswholead.in/,$1.00,28/11/2024,Gurugram,Membership community for women,Pre-Series A,https://entrackr.com/snippets/ladies-who-lead-raises-1-mn-led-by-nithin-kamaths-rainmatter-7613099
https://parkmate.in/,$1.20,27/11/2024,Noida,Car Parking Solutions Provider,,https://entrackr.com/snippets/parkmate-raises-12-mn-led-by-cactus-partners-7612633
