Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.squareyards.com/,$35.00,,Real Estate,Gurugram,27/11/2025,https://entrackr.com/news/square-yards-raises-35-mn-at-935-mn-valuation-unicorn-ipo-plans-ahead-10816391
https://www.auxilo.com/,$25.50,Debt,Fintech - NBFC,Mumbai,27/11/2025,https://entrackr.com/exclusive/exclusive-edu-fintech-company-auxilo-raises-rs-225-cr-debt-10816685
https://www.neo-group.in/,$25.00,,Fintech,Mumbai,25/11/2025,https://entrackr.com/exclusive/exclusive-neo-raises-25-mn-led-by-crystal-investment-10811424
https://www.wealthy.in/,$14.50,Series B,Fintech,Bengaluru,24/11/2025,https://entrackr.com/news/wealthy-raises-rs-130-cr-led-by-bertelsmann-india-investments-10806350
https://3evi.com/,$13.45,Series A,EV,Bengaluru,26/11/2025,https://entrackr.com/snippets/3ev-industries-raises-rs-120-cr-in-series-a-led-by-mahanagar-gas-10813666
https://miranatoys.com/in,$6.90,Series A,Toys,Pune,26/11/2025,https://entrackr.com/snippets/arkam-leads-rs-575-cr-series-a-round-in-mirana-toys-10812979
https://www.immunitoai.com/,$6.10,Series A,Biotech,Bengaluru,25/11/2025,https://inc42.com/buzz/immunitoai-bags-6-1-mn-from-pi-ventures-others-to-build-antibodies/
https://www.neuronenergy.in/,$3.50,Pre-Series B,EV Battery,Mumbai,27/11/2025,https://entrackr.com/snippets/ev-battery-manufacturer-neuron-energy-raises-rs-31-cr-in-pre-series-b-round-10817307
http://www.crisprbits.com/,$3.00,Pre-Series A,Biotech,Bengaluru,25/11/2025,https://entrackr.com/snippets/crisprbits-raises-3-mn-led-by-spectrum-impact-10810189
https://www.axitrust.com/,$2.63,Seed,Fintech,Gurugram,26/11/2025,https://entrackr.com/snippets/fintech-startup-axitrust-raises-rs-235-cr-in-seed-round-led-by-general-catalyst-10813938
https://arctus.space/,$2.60,Pre-Seed,Aerospace,Bengaluru,26/11/2025,https://entrackr.com/snippets/arctus-aerospace-raises-26-mn-in-pre-seed-round-10813830
https://www.finreach.in/,$2.60,,Fintech,Mumbai,24/11/2025,https://entrackr.com/snippets/finreach-raises-rs-219-cr-led-by-colossa-ventures-10806403
https://www.sportsforlife.in/,$2.58,Series A,Sports Tech,Bengaluru,27/11/2025,https://entrackr.com/snippets/dealshare-co-founders-startup-sports-for-life-raises-rs-2157-cr-in-series-a-10817397
http://www.enerzi.co/,$2.00,Seed,Climate Tech,Belagavi,26/11/2025,https://entrackr.com/snippets/enerzi-raises-rs-165-cr-in-seed-round-led-by-capital-a-10813557
https://www.faebeauty.in/,$2.00,,Personal Care,Mumbai,24/11/2025,https://entrackr.com/snippets/fae-beauty-raises-2-mn-led-by-spring-marketing-capital-10806635
http://batterypool.com/,$0.96,Pre-Series A,Battery Tech,Pune,27/11/2025,https://entrackr.com/snippets/batterypool-raises-rs-8-crore-led-by-ipv-10816753
https://riverline.ai/,$0.83,Pre-Seed,Fintech,Bengaluru,25/11/2025,https://entrackr.com/snippets/riverline-ai-raises-825k-in-pre-seed-round-led-by-south-park-commons-10810092
https://www.notion.sowww.yuvrit.in,$0.80,Seed,Ayurvedic clinic chain,Bengaluru,27/11/2025,https://entrackr.com/snippets/yuvrit-ayurveda-raises-800k-in-seed-round-led-by-incubate-fund-asia-10816883
https://www.dweepi.com/,$0.66,,Manufacturing,Delhi,24/11/2025,https://entrackr.com/snippets/pontaq-invests-rs-55-cr-in-dweepi-and-edgehax-10807007
https://onyadiamonds.com/,$0.66,Pre-Seed,Lab-grown diamond jewellery,Bengaluru,26/11/2025,https://entrackr.com/snippets/onya-raises-pre-seed-round-led-by-zeropearl-vc-10813520
https://edgehax.com/,$0.66,,Manufacturing,Bengaluru,24/11/2025,https://entrackr.com/snippets/pontaq-invests-rs-55-cr-in-dweepi-and-edgehax-10807007
https://www.primebook.in/,$0.25,,Android laptop brand,Delhi,26/11/2025,https://entrackr.com/snippets/primebook-raises-250k-extension-round-from-ekamya-capital-10814568
,,,,,,
https://www.blostem.com/,,Pre-Series A,Fintech,Delhi,25/11/2025,https://entrackr.com/snippets/blostem-raises-pre-series-a-funding-rainmatter-picks-up-9-stake-10811318
